user_id,perk
330764,AGE < 50 no child: no cancellation fees
330893,AGE < 50 families with Childen: free hotel meal
331039,Potential new users: 10% discount on first order.
334787, AGE >= 50 Group: 1 night free hotel with filght
337227,Potential new users: 10% discount on first order.
338086,AGE < 50 families with Childen: free hotel meal
340166, AGE >= 50 Group: 1 night free hotel with filght
343928, AGE >= 50 Group: 1 night free hotel with filght
347778,AGE < 50 no child: no cancellation fees
348817,AGE < 50 no child: no cancellation fees
348863,Potential new users: 10% discount on first order.
349132,AGE < 50 no child: no cancellation fees
350648,Potential new users: 10% discount on first order.
353271,AGE < 50 families with Childen: free hotel meal
353694,AGE < 50 families with Childen: free hotel meal
354050, AGE >= 50 Group: 1 night free hotel with filght
354260,AGE < 50 no child: no cancellation fees
354311,AGE < 50 no child: no cancellation fees
354950, AGE >= 50 Group: 1 night free hotel with filght
356046,AGE < 50 no child: no cancellation fees
357737,AGE < 50 families with Childen: free hotel meal
359072, AGE >= 50 Group: 1 night free hotel with filght
359080,Economic hot spots: exclusive disounts
359653, AGE >= 50 Group: 1 night free hotel with filght
361459,AGE < 50 families with Childen: free hotel meal
361759, AGE >= 50 Group: 1 night free hotel with filght
363535,AGE < 50 no child: no cancellation fees
365825,Economic hot spots: exclusive disounts
371201,Potential new users: 10% discount on first order.
372970,AGE < 50 no child: no cancellation fees
373489,AGE < 50 families with Childen: free hotel meal
374331,AGE < 50 no child: no cancellation fees
374340,Potential new users: 10% discount on first order.
374341,AGE < 50 no child: no cancellation fees
375160,Potential new users: 10% discount on first order.
375729, AGE >= 50 Group: 1 night free hotel with filght
375751, AGE >= 50 Group: 1 night free hotel with filght
376159,AGE < 50 no child: no cancellation fees
377069,Potential new users: 10% discount on first order.
377411,AGE < 50 no child: no cancellation fees
378565,AGE < 50 families with Childen: free hotel meal
379543, AGE >= 50 Group: 1 night free hotel with filght
380434, AGE >= 50 Group: 1 night free hotel with filght
380436,Economic hot spots: exclusive disounts
380757,AGE < 50 families with Childen: free hotel meal
380874, AGE >= 50 Group: 1 night free hotel with filght
380949,AGE < 50 no child: no cancellation fees
381259,AGE < 50 families with Childen: free hotel meal
381465,AGE < 50 no child: no cancellation fees
382181,AGE < 50 no child: no cancellation fees
382384, AGE >= 50 Group: 1 night free hotel with filght
382533,Potential new users: 10% discount on first order.
385689,AGE < 50 families with Childen: free hotel meal
386255,AGE < 50 families with Childen: free hotel meal
386469,Potential new users: 10% discount on first order.
386914,AGE < 50 families with Childen: free hotel meal
387282,AGE < 50 families with Childen: free hotel meal
387783, AGE >= 50 Group: 1 night free hotel with filght
388328, AGE >= 50 Group: 1 night free hotel with filght
388767,AGE < 50 families with Childen: free hotel meal
388947,Economic hot spots: exclusive disounts
389434,Economic hot spots: exclusive disounts
389662,AGE < 50 no child: no cancellation fees
389759,AGE < 50 families with Childen: free hotel meal
390811,Economic hot spots: exclusive disounts
392453, AGE >= 50 Group: 1 night free hotel with filght
395202,AGE < 50 no child: no cancellation fees
395981, AGE >= 50 Group: 1 night free hotel with filght
396552,AGE < 50 no child: no cancellation fees
399137, AGE >= 50 Group: 1 night free hotel with filght
399218,AGE < 50 families with Childen: free hotel meal
399799, AGE >= 50 Group: 1 night free hotel with filght
400275, AGE >= 50 Group: 1 night free hotel with filght
400582,AGE < 50 no child: no cancellation fees
400899,AGE < 50 no child: no cancellation fees
401245,AGE < 50 no child: no cancellation fees
402332,AGE < 50 no child: no cancellation fees
402978, AGE >= 50 Group: 1 night free hotel with filght
403881,AGE < 50 no child: no cancellation fees
404879,AGE < 50 no child: no cancellation fees
405305,AGE < 50 families with Childen: free hotel meal
406210,AGE < 50 families with Childen: free hotel meal
407118,Economic hot spots: exclusive disounts
407250,AGE < 50 no child: no cancellation fees
407275,AGE < 50 no child: no cancellation fees
407434, AGE >= 50 Group: 1 night free hotel with filght
407642,AGE < 50 no child: no cancellation fees
408551,AGE < 50 families with Childen: free hotel meal
409073,AGE < 50 no child: no cancellation fees
411179, AGE >= 50 Group: 1 night free hotel with filght
411701,AGE < 50 no child: no cancellation fees
413128,AGE < 50 no child: no cancellation fees
413340,AGE < 50 families with Childen: free hotel meal
413418, AGE >= 50 Group: 1 night free hotel with filght
413658, AGE >= 50 Group: 1 night free hotel with filght
414128,AGE < 50 no child: no cancellation fees
415282,AGE < 50 families with Childen: free hotel meal
415381,AGE < 50 no child: no cancellation fees
415581,Economic hot spots: exclusive disounts
416319,Economic hot spots: exclusive disounts
416580,AGE < 50 no child: no cancellation fees
417679,Economic hot spots: exclusive disounts
418329,AGE < 50 families with Childen: free hotel meal
418488,AGE < 50 no child: no cancellation fees
418692,AGE < 50 no child: no cancellation fees
420648, AGE >= 50 Group: 1 night free hotel with filght
420669, AGE >= 50 Group: 1 night free hotel with filght
421247,AGE < 50 families with Childen: free hotel meal
421515,AGE < 50 no child: no cancellation fees
421666,AGE < 50 families with Childen: free hotel meal
421700,AGE < 50 families with Childen: free hotel meal
421870,AGE < 50 families with Childen: free hotel meal
422066, AGE >= 50 Group: 1 night free hotel with filght
422668,Potential new users: 10% discount on first order.
423042,AGE < 50 families with Childen: free hotel meal
423413,Economic hot spots: exclusive disounts
424553,AGE < 50 no child: no cancellation fees
425632,AGE < 50 no child: no cancellation fees
425653,Potential new users: 10% discount on first order.
425953,AGE < 50 no child: no cancellation fees
425966, AGE >= 50 Group: 1 night free hotel with filght
426478,AGE < 50 no child: no cancellation fees
427426,AGE < 50 no child: no cancellation fees
427506, AGE >= 50 Group: 1 night free hotel with filght
428056,AGE < 50 no child: no cancellation fees
428552,Economic hot spots: exclusive disounts
428858,AGE < 50 no child: no cancellation fees
429345, AGE >= 50 Group: 1 night free hotel with filght
429375,Economic hot spots: exclusive disounts
430722,AGE < 50 no child: no cancellation fees
431144, AGE >= 50 Group: 1 night free hotel with filght
431337,AGE < 50 no child: no cancellation fees
431602,AGE < 50 no child: no cancellation fees
431746,AGE < 50 no child: no cancellation fees
431899,Potential new users: 10% discount on first order.
431912,Potential new users: 10% discount on first order.
432333, AGE >= 50 Group: 1 night free hotel with filght
432637,AGE < 50 families with Childen: free hotel meal
432941,AGE < 50 no child: no cancellation fees
433080,AGE < 50 no child: no cancellation fees
433339,AGE < 50 families with Childen: free hotel meal
433905,Economic hot spots: exclusive disounts
434238, AGE >= 50 Group: 1 night free hotel with filght
434623,AGE < 50 no child: no cancellation fees
435231,AGE < 50 no child: no cancellation fees
435596, AGE >= 50 Group: 1 night free hotel with filght
435669,AGE < 50 families with Childen: free hotel meal
435837, AGE >= 50 Group: 1 night free hotel with filght
435882, AGE >= 50 Group: 1 night free hotel with filght
436320,AGE < 50 families with Childen: free hotel meal
436894,AGE < 50 no child: no cancellation fees
437069,AGE < 50 no child: no cancellation fees
437162,AGE < 50 no child: no cancellation fees
437251,AGE < 50 no child: no cancellation fees
437539,AGE < 50 no child: no cancellation fees
437549,AGE < 50 no child: no cancellation fees
438189,AGE < 50 no child: no cancellation fees
438406,Economic hot spots: exclusive disounts
438551,AGE < 50 families with Childen: free hotel meal
438596,AGE < 50 no child: no cancellation fees
438839,Economic hot spots: exclusive disounts
438937,AGE < 50 no child: no cancellation fees
438985,Economic hot spots: exclusive disounts
438995,Potential new users: 10% discount on first order.
439052, AGE >= 50 Group: 1 night free hotel with filght
439120,AGE < 50 no child: no cancellation fees
439363, AGE >= 50 Group: 1 night free hotel with filght
440212,AGE < 50 families with Childen: free hotel meal
440655,AGE < 50 families with Childen: free hotel meal
441200,AGE < 50 families with Childen: free hotel meal
441205,Potential new users: 10% discount on first order.
441448,AGE < 50 families with Childen: free hotel meal
441457, AGE >= 50 Group: 1 night free hotel with filght
441982,Economic hot spots: exclusive disounts
442484,AGE < 50 no child: no cancellation fees
442718,AGE < 50 families with Childen: free hotel meal
442812, AGE >= 50 Group: 1 night free hotel with filght
442819, AGE >= 50 Group: 1 night free hotel with filght
442833,AGE < 50 no child: no cancellation fees
443305,AGE < 50 no child: no cancellation fees
443453,AGE < 50 no child: no cancellation fees
443598,AGE < 50 no child: no cancellation fees
443652,AGE < 50 no child: no cancellation fees
444387,AGE < 50 no child: no cancellation fees
444885,AGE < 50 no child: no cancellation fees
445351, AGE >= 50 Group: 1 night free hotel with filght
445515,AGE < 50 no child: no cancellation fees
446124,Economic hot spots: exclusive disounts
446138,AGE < 50 no child: no cancellation fees
446473,AGE < 50 no child: no cancellation fees
446933,AGE < 50 no child: no cancellation fees
447053,AGE < 50 families with Childen: free hotel meal
447591,AGE < 50 no child: no cancellation fees
447737,AGE < 50 no child: no cancellation fees
447951,AGE < 50 no child: no cancellation fees
448025,AGE < 50 no child: no cancellation fees
448154,Economic hot spots: exclusive disounts
448295, AGE >= 50 Group: 1 night free hotel with filght
448467,AGE < 50 no child: no cancellation fees
448564,AGE < 50 no child: no cancellation fees
449033,AGE < 50 no child: no cancellation fees
449326,AGE < 50 no child: no cancellation fees
449619,AGE < 50 no child: no cancellation fees
449804,AGE < 50 no child: no cancellation fees
449980,Potential new users: 10% discount on first order.
450164,AGE < 50 no child: no cancellation fees
450193,AGE < 50 no child: no cancellation fees
450305,AGE < 50 no child: no cancellation fees
450615,AGE < 50 no child: no cancellation fees
451291, AGE >= 50 Group: 1 night free hotel with filght
451674,Potential new users: 10% discount on first order.
452034,AGE < 50 no child: no cancellation fees
452532,Potential new users: 10% discount on first order.
452594,AGE < 50 families with Childen: free hotel meal
452612,AGE < 50 families with Childen: free hotel meal
453143,AGE < 50 no child: no cancellation fees
453168,Economic hot spots: exclusive disounts
454264,Potential new users: 10% discount on first order.
454430,AGE < 50 no child: no cancellation fees
454616,Economic hot spots: exclusive disounts
454661,AGE < 50 no child: no cancellation fees
454920,Economic hot spots: exclusive disounts
454934,AGE < 50 no child: no cancellation fees
454955, AGE >= 50 Group: 1 night free hotel with filght
456226,AGE < 50 no child: no cancellation fees
456318,Economic hot spots: exclusive disounts
456663,AGE < 50 families with Childen: free hotel meal
456671,AGE < 50 no child: no cancellation fees
457468,AGE < 50 no child: no cancellation fees
457599,AGE < 50 no child: no cancellation fees
457967,Potential new users: 10% discount on first order.
458479,AGE < 50 no child: no cancellation fees
458688,AGE < 50 no child: no cancellation fees
458725,Potential new users: 10% discount on first order.
458762,AGE < 50 families with Childen: free hotel meal
458814,AGE < 50 no child: no cancellation fees
458855,AGE < 50 families with Childen: free hotel meal
458919,AGE < 50 no child: no cancellation fees
459229,Economic hot spots: exclusive disounts
459486,AGE < 50 no child: no cancellation fees
459645,AGE < 50 no child: no cancellation fees
460072,AGE < 50 no child: no cancellation fees
460181, AGE >= 50 Group: 1 night free hotel with filght
460553, AGE >= 50 Group: 1 night free hotel with filght
460625,AGE < 50 families with Childen: free hotel meal
461559,AGE < 50 no child: no cancellation fees
461744,Economic hot spots: exclusive disounts
461791, AGE >= 50 Group: 1 night free hotel with filght
462127,AGE < 50 no child: no cancellation fees
462456,AGE < 50 families with Childen: free hotel meal
462894,Potential new users: 10% discount on first order.
463652,AGE < 50 no child: no cancellation fees
463698,AGE < 50 no child: no cancellation fees
463783, AGE >= 50 Group: 1 night free hotel with filght
463867,AGE < 50 no child: no cancellation fees
463910,AGE < 50 no child: no cancellation fees
464080, AGE >= 50 Group: 1 night free hotel with filght
464160,AGE < 50 families with Childen: free hotel meal
464239,AGE < 50 no child: no cancellation fees
464542,AGE < 50 families with Childen: free hotel meal
464597, AGE >= 50 Group: 1 night free hotel with filght
464614,AGE < 50 no child: no cancellation fees
464673, AGE >= 50 Group: 1 night free hotel with filght
464782,AGE < 50 families with Childen: free hotel meal
464855,AGE < 50 families with Childen: free hotel meal
465138,AGE < 50 no child: no cancellation fees
465343,Economic hot spots: exclusive disounts
465531,AGE < 50 no child: no cancellation fees
465568, AGE >= 50 Group: 1 night free hotel with filght
465731, AGE >= 50 Group: 1 night free hotel with filght
466205,AGE < 50 families with Childen: free hotel meal
466342,AGE < 50 no child: no cancellation fees
466723,AGE < 50 no child: no cancellation fees
467007,AGE < 50 families with Childen: free hotel meal
467092,Potential new users: 10% discount on first order.
467339,AGE < 50 families with Childen: free hotel meal
467809,AGE < 50 families with Childen: free hotel meal
467892,Economic hot spots: exclusive disounts
468106,Economic hot spots: exclusive disounts
468370,AGE < 50 no child: no cancellation fees
468409,AGE < 50 no child: no cancellation fees
468666,AGE < 50 families with Childen: free hotel meal
468801,AGE < 50 families with Childen: free hotel meal
468808,AGE < 50 families with Childen: free hotel meal
468832,AGE < 50 no child: no cancellation fees
469237,AGE < 50 families with Childen: free hotel meal
469418,Potential new users: 10% discount on first order.
469440,AGE < 50 families with Childen: free hotel meal
469464,AGE < 50 no child: no cancellation fees
469699,Economic hot spots: exclusive disounts
469767,Economic hot spots: exclusive disounts
469824,Economic hot spots: exclusive disounts
471077, AGE >= 50 Group: 1 night free hotel with filght
471161,AGE < 50 no child: no cancellation fees
471186,Economic hot spots: exclusive disounts
471500,AGE < 50 families with Childen: free hotel meal
471565,AGE < 50 families with Childen: free hotel meal
471649,AGE < 50 families with Childen: free hotel meal
471687,Economic hot spots: exclusive disounts
471717,AGE < 50 families with Childen: free hotel meal
471935,AGE < 50 no child: no cancellation fees
471946,AGE < 50 families with Childen: free hotel meal
471973,Potential new users: 10% discount on first order.
472394,AGE < 50 no child: no cancellation fees
472446,AGE < 50 no child: no cancellation fees
472614,AGE < 50 no child: no cancellation fees
472713,AGE < 50 families with Childen: free hotel meal
472785,AGE < 50 no child: no cancellation fees
472966,AGE < 50 no child: no cancellation fees
473332,Economic hot spots: exclusive disounts
473343,AGE < 50 no child: no cancellation fees
473402,Economic hot spots: exclusive disounts
473467,AGE < 50 no child: no cancellation fees
473568,AGE < 50 families with Childen: free hotel meal
473712,AGE < 50 no child: no cancellation fees
473847,AGE < 50 families with Childen: free hotel meal
474007,AGE < 50 no child: no cancellation fees
474120,AGE < 50 families with Childen: free hotel meal
474239,Potential new users: 10% discount on first order.
474261,AGE < 50 no child: no cancellation fees
474278,Potential new users: 10% discount on first order.
474384,AGE < 50 no child: no cancellation fees
474464,Economic hot spots: exclusive disounts
474546, AGE >= 50 Group: 1 night free hotel with filght
474951,AGE < 50 no child: no cancellation fees
474980,AGE < 50 no child: no cancellation fees
475060,Economic hot spots: exclusive disounts
475130,AGE < 50 families with Childen: free hotel meal
475467,AGE < 50 no child: no cancellation fees
475531,AGE < 50 no child: no cancellation fees
476081, AGE >= 50 Group: 1 night free hotel with filght
476104, AGE >= 50 Group: 1 night free hotel with filght
476124,AGE < 50 no child: no cancellation fees
476173,AGE < 50 no child: no cancellation fees
476270, AGE >= 50 Group: 1 night free hotel with filght
476393, AGE >= 50 Group: 1 night free hotel with filght
476436,AGE < 50 families with Childen: free hotel meal
476535,AGE < 50 families with Childen: free hotel meal
476665,AGE < 50 no child: no cancellation fees
476693,Economic hot spots: exclusive disounts
476714,AGE < 50 no child: no cancellation fees
476742,AGE < 50 families with Childen: free hotel meal
476916,Potential new users: 10% discount on first order.
476956,AGE < 50 no child: no cancellation fees
477285, AGE >= 50 Group: 1 night free hotel with filght
477316,Economic hot spots: exclusive disounts
477597,AGE < 50 families with Childen: free hotel meal
477730,AGE < 50 no child: no cancellation fees
477805,AGE < 50 no child: no cancellation fees
478003, AGE >= 50 Group: 1 night free hotel with filght
478146,AGE < 50 no child: no cancellation fees
478188,AGE < 50 no child: no cancellation fees
478228,AGE < 50 no child: no cancellation fees
478291,AGE < 50 families with Childen: free hotel meal
478533,AGE < 50 no child: no cancellation fees
478585,Economic hot spots: exclusive disounts
478760,Economic hot spots: exclusive disounts
478801,AGE < 50 no child: no cancellation fees
478834,Potential new users: 10% discount on first order.
479071,AGE < 50 no child: no cancellation fees
479078,AGE < 50 no child: no cancellation fees
479101,AGE < 50 families with Childen: free hotel meal
479254,AGE < 50 no child: no cancellation fees
479524,Potential new users: 10% discount on first order.
479785,Potential new users: 10% discount on first order.
480186,Potential new users: 10% discount on first order.
480313,Economic hot spots: exclusive disounts
480331,AGE < 50 no child: no cancellation fees
480690,AGE < 50 no child: no cancellation fees
480796,AGE < 50 families with Childen: free hotel meal
480877,AGE < 50 no child: no cancellation fees
480895,AGE < 50 no child: no cancellation fees
480975,Potential new users: 10% discount on first order.
481050,AGE < 50 families with Childen: free hotel meal
481245,Economic hot spots: exclusive disounts
481292,AGE < 50 no child: no cancellation fees
481358,Potential new users: 10% discount on first order.
481554,AGE < 50 no child: no cancellation fees
481622,AGE < 50 no child: no cancellation fees
481772,AGE < 50 no child: no cancellation fees
481781,Potential new users: 10% discount on first order.
482264,AGE < 50 families with Childen: free hotel meal
482335,AGE < 50 no child: no cancellation fees
482424,AGE < 50 no child: no cancellation fees
482548,AGE < 50 families with Childen: free hotel meal
482602,AGE < 50 no child: no cancellation fees
482621,AGE < 50 families with Childen: free hotel meal
482630,AGE < 50 no child: no cancellation fees
482744,Economic hot spots: exclusive disounts
482811,Potential new users: 10% discount on first order.
483224,AGE < 50 no child: no cancellation fees
483237,AGE < 50 no child: no cancellation fees
483345,AGE < 50 families with Childen: free hotel meal
483480,AGE < 50 families with Childen: free hotel meal
483483,AGE < 50 families with Childen: free hotel meal
483525,AGE < 50 families with Childen: free hotel meal
483603,Economic hot spots: exclusive disounts
483928,Economic hot spots: exclusive disounts
483982,AGE < 50 no child: no cancellation fees
484249,AGE < 50 no child: no cancellation fees
484342,Potential new users: 10% discount on first order.
484418,Economic hot spots: exclusive disounts
484987, AGE >= 50 Group: 1 night free hotel with filght
485149,AGE < 50 no child: no cancellation fees
485260,AGE < 50 families with Childen: free hotel meal
485393,Potential new users: 10% discount on first order.
485505,AGE < 50 no child: no cancellation fees
485518,Potential new users: 10% discount on first order.
485536,Potential new users: 10% discount on first order.
485544,AGE < 50 no child: no cancellation fees
485591,AGE < 50 no child: no cancellation fees
485658,Economic hot spots: exclusive disounts
485780,AGE < 50 families with Childen: free hotel meal
485785,AGE < 50 no child: no cancellation fees
485891,AGE < 50 families with Childen: free hotel meal
485894,AGE < 50 families with Childen: free hotel meal
486046, AGE >= 50 Group: 1 night free hotel with filght
486113,AGE < 50 no child: no cancellation fees
486191,Economic hot spots: exclusive disounts
486261,AGE < 50 no child: no cancellation fees
486268,Potential new users: 10% discount on first order.
486270,AGE < 50 no child: no cancellation fees
486366,AGE < 50 no child: no cancellation fees
486447,Potential new users: 10% discount on first order.
486454,AGE < 50 families with Childen: free hotel meal
486605,Economic hot spots: exclusive disounts
486671, AGE >= 50 Group: 1 night free hotel with filght
486751,Economic hot spots: exclusive disounts
486823,AGE < 50 no child: no cancellation fees
487002,AGE < 50 no child: no cancellation fees
487036,AGE < 50 families with Childen: free hotel meal
487040,AGE < 50 families with Childen: free hotel meal
487101,AGE < 50 no child: no cancellation fees
487276,Economic hot spots: exclusive disounts
487352,AGE < 50 families with Childen: free hotel meal
487453,AGE < 50 no child: no cancellation fees
487637, AGE >= 50 Group: 1 night free hotel with filght
487680, AGE >= 50 Group: 1 night free hotel with filght
487715,AGE < 50 no child: no cancellation fees
487858,AGE < 50 no child: no cancellation fees
487954,AGE < 50 no child: no cancellation fees
488009,AGE < 50 no child: no cancellation fees
488099,Potential new users: 10% discount on first order.
488246,AGE < 50 no child: no cancellation fees
488314,Economic hot spots: exclusive disounts
488410,Economic hot spots: exclusive disounts
488430,Potential new users: 10% discount on first order.
488462,AGE < 50 no child: no cancellation fees
488480,AGE < 50 no child: no cancellation fees
488511,AGE < 50 no child: no cancellation fees
488529,AGE < 50 families with Childen: free hotel meal
488539,Potential new users: 10% discount on first order.
488672,AGE < 50 no child: no cancellation fees
488827,AGE < 50 no child: no cancellation fees
488865,AGE < 50 no child: no cancellation fees
488870,Economic hot spots: exclusive disounts
488918,AGE < 50 no child: no cancellation fees
488974, AGE >= 50 Group: 1 night free hotel with filght
489096,Economic hot spots: exclusive disounts
489131,Potential new users: 10% discount on first order.
489575,AGE < 50 families with Childen: free hotel meal
489635,AGE < 50 no child: no cancellation fees
489661,AGE < 50 no child: no cancellation fees
489730,AGE < 50 no child: no cancellation fees
489785,AGE < 50 families with Childen: free hotel meal
489786,Potential new users: 10% discount on first order.
489802,AGE < 50 no child: no cancellation fees
489844,AGE < 50 families with Childen: free hotel meal
489852, AGE >= 50 Group: 1 night free hotel with filght
489949,AGE < 50 families with Childen: free hotel meal
489953,AGE < 50 families with Childen: free hotel meal
489992,AGE < 50 no child: no cancellation fees
490040,AGE < 50 no child: no cancellation fees
490107,AGE < 50 no child: no cancellation fees
490133, AGE >= 50 Group: 1 night free hotel with filght
490201,AGE < 50 families with Childen: free hotel meal
490348,AGE < 50 no child: no cancellation fees
490358,AGE < 50 families with Childen: free hotel meal
490517, AGE >= 50 Group: 1 night free hotel with filght
490576, AGE >= 50 Group: 1 night free hotel with filght
490608,Economic hot spots: exclusive disounts
490629,AGE < 50 families with Childen: free hotel meal
490671,AGE < 50 families with Childen: free hotel meal
491003,AGE < 50 families with Childen: free hotel meal
491124, AGE >= 50 Group: 1 night free hotel with filght
491141, AGE >= 50 Group: 1 night free hotel with filght
491175, AGE >= 50 Group: 1 night free hotel with filght
491182,AGE < 50 no child: no cancellation fees
491241,Economic hot spots: exclusive disounts
491266,AGE < 50 no child: no cancellation fees
491559,AGE < 50 no child: no cancellation fees
491597,AGE < 50 no child: no cancellation fees
491617, AGE >= 50 Group: 1 night free hotel with filght
491706,AGE < 50 no child: no cancellation fees
491772, AGE >= 50 Group: 1 night free hotel with filght
491925,Economic hot spots: exclusive disounts
491930,AGE < 50 no child: no cancellation fees
491995,Potential new users: 10% discount on first order.
492209,AGE < 50 no child: no cancellation fees
492211,AGE < 50 no child: no cancellation fees
492287,Economic hot spots: exclusive disounts
492371,AGE < 50 no child: no cancellation fees
492497,Potential new users: 10% discount on first order.
492614,Potential new users: 10% discount on first order.
492999,Economic hot spots: exclusive disounts
493177,AGE < 50 no child: no cancellation fees
493409,AGE < 50 no child: no cancellation fees
493476,AGE < 50 families with Childen: free hotel meal
493718, AGE >= 50 Group: 1 night free hotel with filght
494294,AGE < 50 no child: no cancellation fees
494374,AGE < 50 no child: no cancellation fees
494382,AGE < 50 families with Childen: free hotel meal
494441,Potential new users: 10% discount on first order.
494463,AGE < 50 families with Childen: free hotel meal
494484,AGE < 50 no child: no cancellation fees
494590,AGE < 50 no child: no cancellation fees
494630,AGE < 50 no child: no cancellation fees
494680,AGE < 50 no child: no cancellation fees
494704,AGE < 50 no child: no cancellation fees
494985,AGE < 50 no child: no cancellation fees
495029,AGE < 50 no child: no cancellation fees
495042,Economic hot spots: exclusive disounts
495080,AGE < 50 no child: no cancellation fees
495272,AGE < 50 no child: no cancellation fees
495273,AGE < 50 no child: no cancellation fees
495386, AGE >= 50 Group: 1 night free hotel with filght
495482,AGE < 50 no child: no cancellation fees
495592,Potential new users: 10% discount on first order.
495603,AGE < 50 no child: no cancellation fees
495727,AGE < 50 no child: no cancellation fees
496016,Economic hot spots: exclusive disounts
496074,Potential new users: 10% discount on first order.
496273,Economic hot spots: exclusive disounts
496286,AGE < 50 no child: no cancellation fees
496332,Economic hot spots: exclusive disounts
496382,AGE < 50 no child: no cancellation fees
496408,AGE < 50 no child: no cancellation fees
496566,AGE < 50 no child: no cancellation fees
496899,Economic hot spots: exclusive disounts
496972,AGE < 50 no child: no cancellation fees
497042, AGE >= 50 Group: 1 night free hotel with filght
497077,AGE < 50 no child: no cancellation fees
497108,AGE < 50 no child: no cancellation fees
497225,AGE < 50 no child: no cancellation fees
497475,AGE < 50 no child: no cancellation fees
497615,AGE < 50 families with Childen: free hotel meal
497678,AGE < 50 no child: no cancellation fees
497680,AGE < 50 families with Childen: free hotel meal
497829, AGE >= 50 Group: 1 night free hotel with filght
497915,AGE < 50 no child: no cancellation fees
498154,AGE < 50 no child: no cancellation fees
498199,AGE < 50 no child: no cancellation fees
498287,AGE < 50 no child: no cancellation fees
498298,AGE < 50 no child: no cancellation fees
498357,Economic hot spots: exclusive disounts
498363,AGE < 50 no child: no cancellation fees
498500, AGE >= 50 Group: 1 night free hotel with filght
498574,AGE < 50 no child: no cancellation fees
498607,AGE < 50 no child: no cancellation fees
498665,AGE < 50 no child: no cancellation fees
498857,AGE < 50 no child: no cancellation fees
498931, AGE >= 50 Group: 1 night free hotel with filght
499028,AGE < 50 no child: no cancellation fees
499038,AGE < 50 no child: no cancellation fees
499252,AGE < 50 no child: no cancellation fees
499313,Economic hot spots: exclusive disounts
499366,AGE < 50 no child: no cancellation fees
499375,AGE < 50 no child: no cancellation fees
499379, AGE >= 50 Group: 1 night free hotel with filght
499461, AGE >= 50 Group: 1 night free hotel with filght
499475,AGE < 50 no child: no cancellation fees
499633,AGE < 50 no child: no cancellation fees
499634,AGE < 50 families with Childen: free hotel meal
499659, AGE >= 50 Group: 1 night free hotel with filght
499669,AGE < 50 families with Childen: free hotel meal
499751, AGE >= 50 Group: 1 night free hotel with filght
499760,Potential new users: 10% discount on first order.
499780,Potential new users: 10% discount on first order.
499810,AGE < 50 no child: no cancellation fees
499847, AGE >= 50 Group: 1 night free hotel with filght
499969,AGE < 50 no child: no cancellation fees
499979,AGE < 50 no child: no cancellation fees
499990,Economic hot spots: exclusive disounts
500078,AGE < 50 no child: no cancellation fees
