trip_id,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,flight_distance_km
509645-2b8b0f5d8bc0427c983e0a729a5a5ac2,RAL,seattle,SEA,1,TRUE,2023/2/10 7:00,2023/2/14 7:00,0,United Airlines,47.53,-122.302,334.92,1563.448857
509645-992834e365354e83a2926ddcaff17c0d,RAL,new york,JFK,1,TRUE,2023/1/15 16:00,2023/1/18 16:00,0,Iberia Airlines,40.64,-73.779,659.22,3892.659475
510449-d35547ec3fbe4d48a502e137132ed930,CLT,toronto,YTZ,1,TRUE,2023/5/17 16:00,2023/5/20 16:00,0,Porter Airlines,43.862,-79.37,166.76,970.9741009
510449-756a3f31132d43e7ba370bea05206307,CLT,baltimore,BWI,1,TRUE,2023/4/26 7:00,2023/4/28 7:00,1,Delta Air Lines,39.175,-76.668,102.33,580.6866152
510449-c92c76cd614144199f5d34b01aee9af0,CLT,dallas,DAL,1,TRUE,2023/1/11 7:00,2023/1/13 7:00,1,AirTran Airways,32.847,-96.852,276.67,1487.776891
510449-d5c85d736bef4440a14f7f4c90807a38,CLT,new york,JFK,1,TRUE,2023/1/20 7:00,2023/1/23 7:00,1,JetBlue Airways,40.64,-73.779,146.19,870.5313389
510558-732ceecaa3974c6e886edb727028dd8d,EWR,san jose,SJI,1,FALSE,2023/4/14 7:00,,1,Cebu Pacific,37.362,-121.929,359.89,4091.399419
510558-91a82d2a6f624fbaa7cb7c0385e49d96,EWR,venice,VCE,2,TRUE,2024/1/21 15:00,2024/2/8 15:00,2,Blue Panorama Airlines,45.505,12.352,2335.36,6691.389045
510558-91a82d2a6f624fbaa7cb7c0385e49d96,EWR,venice,VCE,2,TRUE,2024/1/21 15:00,2024/2/8 15:00,2,Blue Panorama Airlines,45.505,12.352,2335.36,6691.389045
510610-6d3bd317b2d541818220fcd828641996,LGA,denver,DEN,1,TRUE,2023/2/5 7:00,2023/2/12 7:00,0,United Airlines,39.858,-104.667,523.74,2599.449871
510676-6eb27daf489a40cebf5bb188c48e6cdd,LGA,hamilton,YHM,1,TRUE,2023/1/13 8:00,2023/1/15 8:00,0,WestJet,43.173,-79.935,96.97,567.4139776
510676-e3069550c6594987808078348d25a220,LGA,baltimore,BWI,2,TRUE,2023/3/1 9:00,2023/3/3 9:00,0,American Airlines,39.175,-76.668,104.03,297.4518983
510676-71ddc60a8fa84359a1b2413205feb96c,LGA,los angeles,LSQ,1,TRUE,2023/2/2 15:00,2023/2/6 15:00,1,Ryanair,33.942,-118.408,671.09,3965.398671
511418-05e2009c35af4ea8bb4223b4682b8017,JFK,los angeles,LSQ,1,TRUE,2023/2/5 16:00,2023/2/6 16:00,0,American Airlines,33.942,-118.408,737.25,3974.209843
511418-06db26a439cd4c2e96ce00a3df4b9075,JFK,los angeles,LAX,1,TRUE,2023/2/16 14:00,2023/2/22 14:00,1,Volaris,33.942,-118.408,735.91,3974.209843
511433-775cd0487872464ab2150bb2e741ad6d,MCO,new york,LGA,2,TRUE,2023/6/29 9:00,2023/6/30 9:00,1,American Airlines,40.64,-73.779,501.03,1521.732072
511433-266167c2e27a447eb0110c66241c260f,MCO,los angeles,LAX,1,TRUE,2023/5/13 15:00,2023/5/15 15:00,1,Alitalia,33.942,-118.408,685.94,3561.684144
511433-51afd65728f34b08b2c62f652a52ac84,MCO,jacksonville,LRF,2,TRUE,2023/6/16 11:00,2023/6/18 11:00,0,American Airlines,30.494,-81.688,87.06,232.424286
511433-10e8d20443bf4118852b0d518b0043c8,MCO,san francisco,SFO,1,TRUE,2023/1/18 15:00,2023/1/31 15:00,1,American Airlines,37.619,-122.375,734.32,3928.549737
511469-84d5ac6a27a042958c79995991b28550,LAX,houston,EFD,1,TRUE,2023/1/31 8:00,2023/2/1 8:00,1,American Airlines,29.607,-95.159,387.72,2244.728351
511469-fbc521c687114a3aa52009346b2b6e63,LAX,oklahoma city,OKC,1,TRUE,2023/2/16 7:00,2023/2/21 7:00,1,United Airlines,35.393,-97.601,323.85,1906.190873
511489-7b754ed2fb624ffda22a17c0c12a1309,LOU,san francisco,SFO,2,TRUE,2023/3/13 13:00,2023/3/16 13:00,1,Allegiant Air,37.619,-122.375,1052.13,3199.440677
511552-b4c1883889e044aa97dc00e1a0b81fe3,MSP,baltimore,BWI,2,TRUE,2023/9/16 8:00,2023/9/24 8:00,1,AirTran Airways,39.175,-76.668,478.26,1503.241913
511552-b4c1883889e044aa97dc00e1a0b81fe3,MSP,baltimore,BWI,2,TRUE,2023/9/16 8:00,2023/9/24 8:00,1,AirTran Airways,39.175,-76.668,478.26,1503.241913
511560-0cdde22ac1544118bbfa2778fe5f8086,IAB,new york,JFK,2,TRUE,2023/4/28 7:00,2023/5/1 7:00,0,American Airlines,40.64,-73.779,710.64,2047.200471
511560-3ade57ab916449c69223ac40c5eb96cc,IAB,san francisco,SFO,1,TRUE,2023/2/5 7:00,2023/2/7 7:00,0,Alaska Airlines,37.619,-122.375,412.68,2204.687432
511560-5efdd9454ff74ef3ac336ca803e9a2e8,IAB,new york,LGA,1,TRUE,2023/1/15 13:00,2023/1/22 13:00,0,JetBlue Airways,40.64,-73.779,368.58,2047.200471
511560-db728f71736a46458a2c81411f6bcee9,IAB,baltimore,BWI,2,FALSE,2023/4/9 16:00,,0,Southwest Airlines,39.175,-76.668,314.18,1799.456442
511568-dd675e88e7924f59be61ddd592a4b6be,BWI,casablanca,CMN,1,TRUE,2024/3/8 17:00,2024/3/23 17:00,0,Royal Air Maroc,33.553,-7.661,1229.22,6061.004377
511577-2d081d9eec26432483b29fb03c1b3c22,FAT,winnipeg,YWG,1,TRUE,2023/1/16 7:00,2023/1/17 7:00,0,Canadian North,50.056,-97.032,443.91,2337.021771
511577-f0b88a519f0b4724b7b7edd3bce2ccd7,FAT,new york,JFK,1,TRUE,2023/3/18 13:00,2023/3/20 13:00,0,Delta Air Lines,40.64,-73.779,651.01,3963.953309
512078-b32abe9cc5b84faf91bab56b882d7ab2,SNA,new york,JFK,1,TRUE,2023/1/28 7:00,2023/2/1 7:00,1,Caribbean Airlines,40.64,-73.779,708.04,3940.891821
512078-a401bceb9a34464292e1270a46cbe8b2,SNA,los angeles,LSQ,1,TRUE,2023/5/24 7:00,2023/5/26 7:00,1,Delta Air Lines,33.942,-118.408,10.42,57.99989626
512201-d180a223b67e47c28395ef9b970e7073,SJC,chicago,UGN,1,TRUE,2023/3/9 15:00,2023/3/13 15:00,0,Ryanair,41.786,-87.752,486.6,2950.379569
512201-34aedce6df3f4f2899b1b2efa94c5a51,SJC,new york,LGA,1,TRUE,2023/6/17 13:00,2023/6/21 13:00,1,American Airlines,40.64,-73.779,715.05,4124.793561
512201-97d9e3e82e5f4a05b3a71c4a9f8e748b,SJC,los angeles,LSQ,1,TRUE,2023/5/1 15:00,2023/5/3 15:00,1,Delta Air Lines,33.942,-118.408,90.59,495.7229228
512201-d198cb30dbe945a58808812558288792,SJC,new york,LGA,1,TRUE,2023/1/14 11:00,2023/1/23 11:00,1,United Airlines,40.64,-73.779,781.52,4124.793561
512294-430d2e55db6a40689f094f642913d161,IAH,los angeles,LAX,1,TRUE,2023/1/13 13:00,2023/1/16 13:00,2,Alaska Airlines,33.942,-118.408,391.54,2215.344176
512294-92557b197bbc4e0d99aed52bf04a5648,IAH,new york,JFK,1,TRUE,2023/2/1 16:00,2023/2/4 16:00,1,Alaska Airlines,40.64,-73.779,420.59,2278.084948
512294-253f426dd1bb4bfaa5b080c4f19e07e2,IAH,san diego,NZY,1,TRUE,2023/5/17 16:00,2023/5/19 16:00,1,American Airlines,32.699,-117.215,363.36,2095.567687
512294-48ff59a5123f416c9a19c60b5616f7f5,IAH,new york,JFK,2,TRUE,2023/2/16 12:00,2023/2/22 12:00,0,Delta Air Lines,40.64,-73.779,821.47,2278.084948
512295-63fe13d6c0d3452dae9a784059920a68,LAS,san jose,SJO,1,TRUE,2023/3/22 7:00,2023/3/24 7:00,0,Spirit Airlines,37.362,-121.929,112.16,620.4653895
512295-d2930cde2d074a5e9b4079bb792d958d,LAS,los angeles,LAX,1,TRUE,2023/2/24 16:00,2023/2/28 16:00,0,Delta Air Lines,33.942,-118.408,61.99,380.0231745
512295-c53f310ff3ae4bb8b9090e91f16d926c,LAS,montreal,YMX,2,TRUE,2023/1/15 15:00,2023/1/17 15:00,0,American Airlines,45.517,-73.417,1323.05,3621.347314
512295-0674a3872add41c2be278c39384eb85c,LAS,fresno,FAT,1,TRUE,2023/2/1 16:00,2023/2/6 16:00,1,Alaska Airlines,36.776,-119.718,78.15,415.7324823
512295-9cfde852c97d45269b7e80865dfafd22,LAS,toronto,YZD,1,TRUE,2023/7/9 8:00,2023/7/11 8:00,1,United Airlines,43.862,-79.37,581,3142.463946
512301-cb8df789068f430a9acaf0cbd1074e91,LCK,edmonton,YED,1,TRUE,2023/3/21 11:00,2023/3/25 11:00,2,Ryanair,53.667,-113.467,461.73,2757.540718
512301-937cd45ef09842e4bbd9f7e03bb706d8,LCK,detroit,DTW,1,TRUE,2023/3/1 8:00,2023/3/6 8:00,1,City Connexion Airlines,42.409,-83.01,57.46,288.6325544
512301-059154bd088a4938b8ca2b1bb8b5c3e9,LCK,new york,LGA,1,TRUE,2023/2/4 16:00,2023/2/6 16:00,1,United Airlines,40.64,-73.779,148.2,781.7656115
512301-a46a73c7504e4f448a65a2849b53ef39,LCK,san diego,NZY,1,TRUE,2023/6/25 7:00,2023/6/28 7:00,1,United Airlines,32.699,-117.215,526.62,3153.586413
512495-d1a2bed030924560ae95c16bc3ddaedc,LOU,dallas,DAL,1,TRUE,2023/4/27 16:00,2023/5/3 16:00,0,Southwest Airlines,32.847,-96.852,193.93,1174.651103
512495-8237b1cbc12747a8a6b5effd2ae1fd12,LOU,charlotte,CLT,2,TRUE,2023/1/11 15:00,2023/1/16 15:00,1,JetBlue Airways,35.214,-80.943,189.6,537.8003505
512495-c9959df4231d419892614ab761b10d13,LOU,chicago,ORD,1,TRUE,2023/4/4 7:00,2023/4/6 7:00,1,United Airlines,41.786,-87.752,75.39,433.7252939
512495-667cce377be64555889f829f78f5fbb6,LOU,san antonio,SKF,1,TRUE,2023/3/9 9:00,2023/3/16 9:00,0,American Airlines,29.529,-98.279,246.69,1511.297303
512587-82e28c215e744e2cbb11ecaeedd90ef9,OAK,hamilton,YHM,1,TRUE,2023/4/13 7:00,2023/4/15 7:00,1,WestJet,43.173,-79.935,674.68,3590.278869
512587-2eb04094e5d44364b998c640fbf3ffbf,OAK,indianapolis,IND,1,TRUE,2023/1/19 11:00,2023/1/23 11:00,1,Allegiant Air,39.717,-86.294,517.25,3103.967652
512655-76f4eab676c642eea42a2cdfacabca6e,BNA,columbus,LCK,1,TRUE,2023/7/3 14:00,2023/7/8 14:00,0,Allegiant Air,39.998,-82.892,94.94,543.411651
512655-3007fe35a5a84ce48c0602ede614dc5e,BNA,indianapolis,IND,1,TRUE,2023/2/1 7:00,2023/2/18 7:00,0,Southwest Airlines,39.717,-86.294,75.26,400.9394698
512655-844412c05eb64c1085869f6a70e038b0,BNA,washington,DCA,1,TRUE,2023/3/10 15:00,2023/3/12 15:00,1,JetBlue Airways,38.852,-77.037,167.68,902.5432952
512655-5e84b5e18033411db0ce4c0370aa5aa0,BNA,los angeles,LAX,2,TRUE,2023/5/9 12:00,2023/5/12 12:00,0,Alitalia,33.942,-118.408,993.64,2886.355252
512704-13d6fa2f638140a5a584917009a93952,SAT,san francisco,SFO,1,TRUE,2023/3/8 10:00,2023/3/9 10:00,0,Southwest Airlines,37.619,-122.375,401.05,2381.542636
512780-d956e68a750c4580ae0bd9b36f6575b1,YVR,hamilton,HLZ,1,TRUE,2023/5/1 7:00,2023/5/4 7:00,0,Air New Zealand,43.173,-79.935,641.55,3348.315547
512780-aa2e12b147654191b4bf2bc3c15a00ae,YVR,fresno,FAT,1,FALSE,2023/2/17 11:00,,1,Allegiant Air,36.776,-119.718,124.28,1408.980179
512791-27478ccb6e5f4dd28f034c837f039505,ATL,houston,EFD,1,TRUE,2023/2/5 7:00,2023/2/10 7:00,1,Delta Air Lines,29.607,-95.159,203.55,1109.917473
512791-d1b8e7b17e114b1ba9cd48989d69e0c2,ATL,new york,LGA,2,TRUE,2023/3/16 9:00,2023/3/17 9:00,1,Delta Air Lines,40.64,-73.779,424.63,1221.776148
512791-95099a39ad71462d834f0d1181f2838d,ATL,calgary,YYC,1,TRUE,2023/1/18 7:00,2023/1/22 7:00,1,Air Canada,51.114,-114.02,612.77,3076.208943
512848-f21e80d707ee42a19d993df7c6d32753,EFD,los angeles,LAX,1,TRUE,2023/6/7 14:00,2023/6/10 14:00,0,American Airlines,33.942,-118.408,441.66,2244.728351
512848-d43f3ce46ed24609a52bd9b5b013a49d,EFD,fort worth,FTW,1,TRUE,2023/2/19 7:00,2023/2/21 7:00,0,Delta Air Lines,32.82,-97.362,80.52,414.1339089
513387-d8e76be34bb64b61bc2753449c4a3983,ORD,houston,IAH,1,TRUE,2023/1/22 7:00,2023/1/25 7:00,0,United Airlines,29.607,-95.159,281.56,1521.932605
513387-0c7e5c0b39ce415cae71f7e26cf956c2,ORD,oklahoma city,TIK,1,TRUE,2023/3/24 7:00,2023/3/30 7:00,0,American Airlines,35.393,-97.601,202.71,1114.347449
513387-8f228a53cc704b1985c59f2acf470d4b,ORD,indianapolis,IND,2,TRUE,2023/3/11 7:00,2023/3/12 7:00,1,Virgin Atlantic Airways,39.717,-86.294,112.94,285.6478385
513387-a850e83dddb44abd869f4b260f9c6e3f,ORD,toronto,YYZ,1,TRUE,2023/2/8 10:00,2023/2/14 10:00,0,WestJet,43.862,-79.37,145.33,725.3717322
513441-aba2bfd2cc344064a678259839ac5681,MSN,mexico city,MEX,2,TRUE,2023/10/26 18:00,2023/11/7 18:00,1,JetBlue Airways,19.436,-99.072,982.47,2788.629331
513441-aba2bfd2cc344064a678259839ac5681,MSN,mexico city,MEX,2,TRUE,2023/10/26 18:00,2023/11/7 18:00,1,JetBlue Airways,19.436,-99.072,982.47,2788.629331
513495-75595f817c644658b5e5b754cc213594,SAN,austin,AUS,1,TRUE,2023/3/17 16:00,2023/3/20 16:00,1,Delta Air Lines,30.194,-97.67,344.89,1869.957924
513569-44ddf06308a5427a8ca19ad56116a335,BOS,el paso,ELP,1,TRUE,2023/2/2 7:00,2023/2/4 7:00,1,American Airlines,31.849,-106.38,628.7,3319.141121
514164-c19e15db7bf84736b18c9b7e4d3dd6e0,BFL,new york,LGA,1,TRUE,2023/2/11 7:00,2023/2/14 7:00,0,JetBlue Airways,40.64,-73.779,758.7,3963.392526
514164-c0d35088ed3141849d00296c5a40b665,BFL,jacksonville,NZC,1,TRUE,2023/1/15 15:00,2023/1/20 15:00,0,Delta Air Lines,30.494,-81.688,627.51,3508.278894
514164-86203c6ef4db41d289124def94e893ae,BFL,chicago,MDW,1,TRUE,2023/3/31 14:00,2023/4/4 14:00,1,Southwest Airlines,41.786,-87.752,470.45,2793.390285
514210-13844ecfefbe44b5a3a0ffb1273012cf,YZD,new york,JFK,1,TRUE,2023/2/12 7:00,2023/2/18 7:00,0,Aerolane,40.64,-73.779,102.11,581.5701947
514210-92c14bab5a664a6ab294cb104e94b74e,YZD,chicago,ORD,1,TRUE,2023/1/20 7:00,2023/1/22 7:00,1,United Airlines,41.786,-87.752,125.58,710.1600452
514210-e3c06714064246a6afdf3005396f8216,YZD,tucson,TUS,1,TRUE,2023/1/28 11:00,2023/1/30 11:00,0,Alaska Airlines,32.166,-110.883,516.36,3016.343864
514261-50b521efb313449aafcde2c4714ee5a6,YTZ,dallas,DAL,1,TRUE,2023/1/19 8:00,2023/1/21 8:00,1,AirTran Airways,32.847,-96.852,338.82,1932.512921
514261-4a75ca7a1ace4975b0d15d97ad097d8d,YTZ,hamilton,HLZ,2,TRUE,2023/3/10 13:00,2023/3/13 13:00,1,Air New Zealand,43.173,-79.935,23.87,66.66890901
514261-7e2c8b28c661491388e207907cb35de2,YTZ,san antonio,SVZ,1,TRUE,2023/5/7 14:00,2023/5/9 14:00,0,Conviasa,29.529,-98.279,399.88,2291.977353
514342-bff15efa3b984fedb01fb38ac8b61bdf,BWI,san jose,SJC,1,TRUE,2023/6/11 7:00,2023/6/17 7:00,1,AirTran Airways,37.362,-121.929,674.78,3915.203237
514342-541a624c6ded4f71a6c9786325f38971,BWI,montreal,YHU,1,TRUE,2023/2/15 7:00,2023/2/18 7:00,1,Ryanair,45.517,-73.417,132.17,753.9395606
