session_id,user_id,trip_id,session_start,session_end,flight_discount,hotel_discount,flight_discount_amount,hotel_discount_amount,flight_booked,hotel_booked,page_clicks,cancellation
544406-5a044df4f3814242b464ea4034d5293d,544406,544406-77ef7c7576334338b153d4a93bc6f978,2023/4/25 19:29,2023/4/25 19:31,FALSE,FALSE,,,TRUE,TRUE,17,FALSE
548568-0f6682a20a4c4990b69f84966871aca7,548568,548568-960ee46005ec4380a6c0c78810af5808,2023/4/25 13:21,2023/4/25 13:24,FALSE,FALSE,,,TRUE,TRUE,26,FALSE
551627-37d9409b3f5c4ffea4ca3e8c5914e095,551627,551627-0aa36a6e8579400ab011ae61b340fb88,2023/4/25 21:08,2023/4/25 21:10,FALSE,FALSE,,,TRUE,TRUE,17,FALSE
554026-910cc8fe12734678a1f57a186e6144d7,554026,554026-afb1f02d2f234a45842c5af3f5a21b50,2023/4/25 11:01,2023/4/25 11:03,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
563735-400d6692ab6442f6b6f5f63310833633,563735,563735-12ff35f223c64412aeac5483ed3eaa0c,2023/4/25 11:46,2023/4/25 11:52,FALSE,FALSE,,,TRUE,TRUE,53,FALSE
575561-72a6307772e74571a8b89d79300b9ccf,575561,575561-396c8ce6dd19475ab406d9a0fc20ed78,2023/4/25 16:57,2023/4/25 16:59,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
579065-e6960c37291646af9c031a792145d819,579065,579065-e46e188b4127468ebcb3fc919d655220,2023/4/25 19:16,2023/4/25 19:20,TRUE,FALSE,0.1,,TRUE,TRUE,40,FALSE
580460-2ccd1183de3c4f0d85e102ea31eb3e3a,580460,580460-6eeb98881e1549c389bec6fa03092956,2023/4/25 7:33,2023/4/25 7:36,FALSE,FALSE,,,TRUE,TRUE,25,FALSE
585585-b72281f43f734ad49a88c3608f218e3a,585585,585585-a1119a91df134e468be49d121598fb33,2023/4/25 17:43,2023/4/25 17:45,FALSE,TRUE,,0.15,TRUE,TRUE,17,FALSE
587313-03a2378d61994b5294de776c3c9ecc76,587313,587313-2ee9811a096047129abb94fdcda49231,2023/4/25 22:20,2023/4/25 22:21,FALSE,FALSE,,,FALSE,TRUE,10,FALSE
594146-7509f3e39a0a479f8133aed2a2f6dc43,594146,594146-128e256e153f4fc98928f0778a88a92f,2023/4/25 8:11,2023/4/25 8:13,FALSE,FALSE,,,FALSE,TRUE,25,FALSE
608521-de0af45346514a568d9514e152720ee5,608521,608521-829b145268cf4d01abccd725082b1022,2023/4/25 10:12,2023/4/25 10:14,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
615266-a109e6aa637c44f0a1f7f92a2d4b94c6,615266,615266-ea060b9f04574641a582b267177509f4,2023/4/25 9:35,2023/4/25 9:38,FALSE,FALSE,,,TRUE,TRUE,25,FALSE
644784-62adec625a0644518a1735333f2397ff,644784,644784-70746d59a26344369f217cbbd8d5b3a1,2023/4/25 16:28,2023/4/25 16:30,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
692510-da124ecb145e4026b713a800dffbb5be,692510,692510-0202393f83824c50ad49bb432be27f15,2023/4/25 21:04,2023/4/25 21:05,FALSE,FALSE,,,TRUE,FALSE,11,FALSE
375729-deb90a429b5c484391a3fc7cfa83fddd,375729,375729-69ec2ce04ca54c86a4755f25ca1656b6,2023/4/26 17:31,2023/4/26 17:34,TRUE,FALSE,0.2,,TRUE,TRUE,27,FALSE
430722-41ee2008f77a4daaa2c441a6981e5781,430722,430722-40db5d646f014ef3a7c9ff443a4557d1,2023/4/26 13:01,2023/4/26 13:04,TRUE,TRUE,0.2,0.05,TRUE,TRUE,31,FALSE
499366-fb948e275ad54432adee0de78a35f498,499366,499366-28a4df1bd97a42d3899a36ad6265fa84,2023/4/26 19:25,2023/4/26 19:29,FALSE,FALSE,,,TRUE,TRUE,34,FALSE
510841-6f967dd34ccc4829ad53f015771fcc61,510841,510841-31f4ea490131413692d8395e219808e6,2023/4/26 16:57,2023/4/26 17:00,FALSE,FALSE,,,TRUE,TRUE,30,FALSE
517803-54da40fb11d548b79fd1399aba675275,517803,517803-8dc60805d0504858856d077af7af3563,2023/4/26 22:28,2023/4/26 22:30,TRUE,FALSE,0.1,,TRUE,TRUE,24,FALSE
518694-d355ff842948420d8a53755ddd2f8d77,518694,518694-148a8ad9eb5742568e38474609056453,2023/4/26 15:29,2023/4/26 15:30,FALSE,FALSE,,,FALSE,TRUE,10,FALSE
523841-f4bfe385780949b795f778e985e66550,523841,523841-011088de6e134c5e92fd7f538045edc1,2023/4/26 12:09,2023/4/26 12:11,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
532433-e4b74c5435704c4d8d5e79a5210fe072,532433,532433-bc9541415a6e4662aaef7e6f93fe978d,2023/4/26 15:26,2023/4/26 15:27,FALSE,FALSE,,,FALSE,TRUE,11,FALSE
536228-538b50c1554d41bc8f4228fef8d51e28,536228,536228-933e85bacec9482f84bc0ac5b1bf4d27,2023/4/26 21:33,2023/4/26 21:35,FALSE,FALSE,,,FALSE,TRUE,21,FALSE
544683-ddb16120edd34fe8808ed14e18c3d8dd,544683,544683-67a83879678145f2bb9536e376e459fc,2023/4/26 20:15,2023/4/26 20:19,FALSE,FALSE,,,TRUE,TRUE,39,FALSE
547776-db54a2ff86a846c3b1dfb46e22e6cc12,547776,547776-5b91f437ba454d63b4ec517a6103dc28,2023/4/26 16:35,2023/4/26 16:40,FALSE,TRUE,,0.15,TRUE,TRUE,43,FALSE
570144-13d5bd253bc7409d895bb89e6f193fca,570144,570144-e113e9a0e2c240d1a2b6a3105dfbf9fa,2023/4/26 9:02,2023/4/26 9:04,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
575419-a6de5e005e88479baf265b1e1d03446b,575419,575419-3dba122a7a4848a48264d84adb227203,2023/4/26 6:55,2023/4/26 6:57,FALSE,FALSE,,,TRUE,FALSE,22,FALSE
597029-be124a4cb7594162bcb9071b1f059c98,597029,597029-c0214b908da54095b3e6fc85f19b287a,2023/4/26 12:01,2023/4/26 12:03,FALSE,FALSE,,,TRUE,TRUE,22,FALSE
598692-fdc75196cfc640b096d4942097188749,598692,598692-eec18e408a0543728de368180514c92d,2023/4/26 16:22,2023/4/26 16:24,FALSE,FALSE,,,TRUE,TRUE,18,FALSE
599454-71d1ee4456584abab28c79c973614d2d,599454,599454-e389ed8df8bb46a8a0e82535acdd628d,2023/4/26 15:46,2023/4/26 15:53,FALSE,FALSE,,,TRUE,TRUE,60,FALSE
632631-2d6cea6d1606447f85cd3d0c8c707035,632631,632631-08df9708cb294b76b6ae6a4bb5263b9c,2023/4/26 12:50,2023/4/26 12:53,FALSE,TRUE,,0.05,TRUE,TRUE,29,FALSE
632965-fb007c1d1ff3404b9d910765d82593ec,632965,632965-16ff14c73e5d4043b6f117b2fc2ce80d,2023/4/26 17:40,2023/4/26 17:47,FALSE,TRUE,,0.05,TRUE,TRUE,60,FALSE
688600-e3bd962ea03249e4a308b35ba9ff60bf,688600,688600-50e2be1c36394496bf9425774bda53d5,2023/4/26 20:23,2023/4/26 20:24,FALSE,FALSE,,,FALSE,TRUE,15,FALSE
732729-7c5d0ee758cb4bd599cf2d71427d4189,732729,732729-b77f2fe72308415ab712f7365d225053,2023/4/26 1:25,2023/4/26 1:31,TRUE,FALSE,0.2,,FALSE,TRUE,50,FALSE
388328-ef2a067c2cee4ef7b2274dcb4d0c9d68,388328,388328-fcd6dedf670d4802a0aac67c7a5dd537,2023/4/27 13:17,2023/4/27 13:19,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
451291-57e9a5fc3e02492c971c806a54c6a455,451291,451291-99be8c1ab4dd4f9085c5d62ee7181958,2023/4/27 19:44,2023/4/27 19:47,TRUE,FALSE,0.15,,TRUE,FALSE,27,FALSE
488918-7d30a96ef8f64f79be97a3ad9896f06a,488918,488918-f3a7f562b7e64316a79c02161b7efcb4,2023/4/27 21:30,2023/4/27 21:33,FALSE,TRUE,,0.1,TRUE,FALSE,25,FALSE
511803-b4f0eed9b230499789beca228de21579,511803,511803-6efc0dd045da4bca80d9e38b8b780b87,2023/4/27 6:41,2023/4/27 6:43,FALSE,FALSE,,,FALSE,TRUE,23,FALSE
513582-b195a3d80e4d40d58d4cab5c2e76d12a,513582,513582-d0169a2d58674a9bbeeabe58577ec1b4,2023/4/27 14:29,2023/4/27 14:31,FALSE,FALSE,,,TRUE,TRUE,18,FALSE
517486-b483edcf38e14dc186cd347e3196a2d4,517486,517486-3afc0c2a4d0e4cbe8c5b8c68ff74dc59,2023/4/27 11:02,2023/4/27 11:06,FALSE,FALSE,,,TRUE,TRUE,36,FALSE
518347-44b32e01df02454380f00b5c4f60a984,518347,518347-455bd4aae2f34d2a883329ffeab7a81b,2023/4/27 21:22,2023/4/27 21:24,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
521587-9981b36e4a954024a348a51fcbea23f8,521587,521587-fe02733878e947779f050d461383414e,2023/4/27 19:26,2023/4/27 19:28,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
522999-7bad96efa95b4cd7a01c4d98219d67ee,522999,522999-0a0467c90aa245f28c2b693f94bc6ef7,2023/4/27 17:22,2023/4/27 17:24,FALSE,FALSE,,,FALSE,TRUE,18,FALSE
523913-ac4fdb5cde6f4c3187392ea2810b2da9,523913,523913-abb9bef986c24e92bacd6d11f8c91249,2023/4/27 7:18,2023/4/27 7:20,TRUE,FALSE,0.1,,TRUE,TRUE,17,FALSE
539426-5e15e9481a3e4ba3955430674ab628a2,539426,539426-e44a5fa24d004d78b515ed54c2a25feb,2023/4/27 20:50,2023/4/27 20:57,FALSE,FALSE,,,TRUE,TRUE,58,FALSE
541389-e5106625e0384b96b1c979adf451d4ae,541389,541389-e336ce89eebc4e0f9d31a4b780586d72,2023/4/27 7:38,2023/4/27 7:41,FALSE,FALSE,,,TRUE,TRUE,28,FALSE
547037-0b2df8cd123d47a4bcf4ee4e9c3fbd80,547037,547037-13edf5f86c1241efae87cd2a2f366544,2023/4/27 19:01,2023/4/27 19:02,FALSE,FALSE,,,FALSE,TRUE,9,FALSE
549797-fdbacbac4f554481bd4afd730a07dcbb,549797,549797-886c02c8080f423ea146410b8014d9b4,2023/4/27 20:16,2023/4/27 20:18,TRUE,FALSE,0.1,,TRUE,FALSE,20,FALSE
550233-7c0e6bc53c5a45d6ac6e8f2538485c41,550233,550233-1e6166869bd24e6690b53c5a908648d5,2023/4/27 21:25,2023/4/27 21:28,FALSE,FALSE,,,TRUE,TRUE,25,FALSE
560341-8a79edbd736b4c4699070abf0d95eecb,560341,560341-5435721a58f54536aefc29e6bf282201,2023/4/27 22:05,2023/4/27 22:06,FALSE,FALSE,,,FALSE,TRUE,11,FALSE
560888-6c26aa31425b4cc481360021b3185da8,560888,560888-577be962bfb249188e2237b03d6e1a41,2023/4/27 15:56,2023/4/27 15:57,FALSE,FALSE,,,TRUE,FALSE,10,FALSE
566881-56867ea6fa094a59a7232b8d35e147b1,566881,566881-9de759ddee9a45a59fccdf69827923a5,2023/4/27 3:24,2023/4/27 3:25,FALSE,FALSE,,,TRUE,FALSE,10,FALSE
569239-dd7b87e9145744109fa110c7beeba22e,569239,569239-5f532ae8053749f7ad9b74193ebd63cf,2023/4/27 17:50,2023/4/27 17:53,TRUE,TRUE,0.35,0.15,TRUE,TRUE,31,FALSE
571200-b91f98ccfadf4220af8c75a16c5f58a1,571200,571200-b22ff54060c34eb9b88d06cbc07e18d2,2023/4/27 19:50,2023/4/27 19:52,FALSE,FALSE,,,TRUE,TRUE,21,FALSE
574909-13b32d8693894dd08a58d5332b5b90f7,574909,574909-9c26798376f04afd8a481e81fcf07a9d,2023/4/27 12:33,2023/4/27 12:35,FALSE,TRUE,,0.05,TRUE,TRUE,19,FALSE
575809-78cb6d6e72a443e998c3dd3cab4ca74d,575809,575809-d22e15e39f0c48d39ecdf9191a9833bf,2023/4/27 13:57,2023/4/27 14:01,FALSE,FALSE,,,TRUE,TRUE,35,FALSE
586038-44aea0daab3644748388084aac9fa67c,586038,586038-0209e71920b140dcb6b34e41e3df3829,2023/4/27 21:42,2023/4/27 21:44,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
589758-4db6a34a87e44c4196b3e18135262498,589758,589758-7d50ecc2a6e9445ca4ad8469562061d6,2023/4/27 21:00,2023/4/27 21:03,FALSE,FALSE,,,TRUE,TRUE,31,FALSE
615922-6156bbc825a24babb5ad36890f909e50,615922,615922-c8e0090843024cae8d9f2278f9c147f2,2023/4/27 10:24,2023/4/27 10:25,FALSE,FALSE,,,TRUE,FALSE,10,FALSE
617407-39e71c73975e4dbaa729e5e1d80e5102,617407,617407-96047dd8e8e24061a4138bdd5c3d0f31,2023/4/27 14:51,2023/4/27 14:53,TRUE,FALSE,0.05,,TRUE,TRUE,20,FALSE
636739-71c2a93de9d44a798b7107e7762d9b63,636739,636739-9dd0e8ea3a6f4feaaf10c49a2bd788fe,2023/4/27 5:05,2023/4/27 5:07,FALSE,FALSE,,,TRUE,TRUE,17,FALSE
438985-9365fefeb0a24727b497fa1d2d87a4ec,438985,438985-cf80310a5e4e49b5ada7892b1e9f0f0d,2023/4/28 14:52,2023/4/28 14:55,TRUE,TRUE,0.05,0.15,TRUE,TRUE,29,FALSE
491175-614ec4745e6d4689aad1faac3a67fa23,491175,491175-c8ccb6533fea4aaba945f0426f4544a2,2023/4/28 8:06,2023/4/28 8:09,FALSE,FALSE,,,TRUE,TRUE,29,FALSE
500791-4581563dd2fa4c61b569e2394be441db,500791,500791-54c6611548de4db2b45563f6bb8b3fe3,2023/4/28 2:24,2023/4/28 2:25,FALSE,TRUE,,0.15,FALSE,TRUE,16,FALSE
512848-986499b8b9724166b5562fc18f4f7fbb,512848,512848-3515755d676842cb8623f260bf17dd85,2023/4/28 4:34,2023/4/28 4:38,FALSE,FALSE,,,FALSE,TRUE,33,FALSE
514981-39568cf4b22b455690e5138d72154fdd,514981,514981-d7dd57646ada47dfa0f59399313e9514,2023/4/28 22:46,2023/4/28 22:48,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
515182-eeb2a84d24984a37adafad1aa95fb1f9,515182,515182-4914d69d247f4c3dacbd22d2e52f48b8,2023/4/28 20:15,2023/4/28 20:17,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
524668-2b15cd9b401242e19afd27845dd6f0a8,524668,524668-db7ecefca6af4c15af2f3ed5846cd836,2023/4/28 17:26,2023/4/28 17:29,FALSE,FALSE,,,TRUE,TRUE,24,FALSE
526855-b40b7303c2974879b57cbb1497e5dba5,526855,526855-c122ec51633a4cf591e7aac61bae130d,2023/4/28 17:54,2023/4/28 17:55,FALSE,FALSE,,,TRUE,FALSE,14,FALSE
527690-a074c9adcfe940d6b03d075a997a9960,527690,527690-d1105ba3b9904e9fb59bdd7a197f2cfb,2023/4/28 11:25,2023/4/28 11:28,FALSE,FALSE,,,FALSE,TRUE,25,FALSE
528690-57329dff9b864041a4659c99c7ebe8e0,528690,528690-f3a8f50b04e64456b3aa19e9bc517321,2023/4/28 13:05,2023/4/28 13:09,FALSE,FALSE,,,TRUE,TRUE,32,FALSE
530810-2cea33246bbf4dfc90d9efb946f373bf,530810,530810-71c7dad99fc24e28b992e2d51fcf21b6,2023/4/28 17:14,2023/4/28 17:17,FALSE,FALSE,,,TRUE,TRUE,30,FALSE
531456-7e30b3a4ef494267a01221b5778af8c5,531456,531456-fbcff2defb684f329d48b71cfbfdc361,2023/4/28 20:10,2023/4/28 20:11,TRUE,FALSE,0.2,,FALSE,TRUE,12,FALSE
533859-5ecc029766bf42b982a53d7c32eb9d4b,533859,533859-91dce873282144959ed7c6b5510b9610,2023/4/28 15:29,2023/4/28 15:31,TRUE,FALSE,0.15,,TRUE,TRUE,19,FALSE
535791-5ed779bec6a64c93b7e5d7bb36e2dda6,535791,535791-8d722525e9344bf0bca9fcad096876b6,2023/4/28 16:09,2023/4/28 16:11,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
545758-c1413569a9884ef7b1e0071c1e1ade7d,545758,545758-ddd9bd2eb5484bedab55909f9c62dbd9,2023/4/28 20:39,2023/4/28 20:42,FALSE,FALSE,,,TRUE,TRUE,26,FALSE
547951-615767e915414be0a18882f931dd48d5,547951,547951-eeeac6b16931457b88a42b754db9b81c,2023/4/28 6:52,2023/4/28 6:55,FALSE,FALSE,,,TRUE,TRUE,29,FALSE
561519-d2cbfb9ec5af4506ba2525953b8ef467,561519,561519-9fa6fc062114485da3c534d645e76485,2023/4/28 14:54,2023/4/28 14:55,FALSE,FALSE,,,FALSE,TRUE,11,FALSE
564534-34001048e44e4b0ca4b097b5d87860ea,564534,564534-50cbd994a19345d4bb22d3fef5d09104,2023/4/28 19:08,2023/4/28 19:10,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
571639-6e18206403244da59ad981784c5ece02,571639,571639-3b68b59d4ed14c768d9ad03afdb32bc1,2023/4/28 19:02,2023/4/28 19:03,FALSE,FALSE,,,TRUE,FALSE,9,FALSE
578947-05b8774f06a844008d146bedc2f12c12,578947,578947-b8fb01a2b9224850a3e3cd596bbbf574,2023/4/28 19:33,2023/4/28 19:35,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
587195-b2e48a13f4f940b2927f2ba93770cbbd,587195,587195-bc34ffe7b691411b805c6a2dac4b90ff,2023/4/28 4:54,2023/4/28 4:56,TRUE,FALSE,0.05,,TRUE,TRUE,23,FALSE
595587-201f03e0f8f44a4cb3b8859e67374d8d,595587,595587-6dffc86d8ce34ba391336c54dc0919b6,2023/4/28 17:42,2023/4/28 17:44,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
601917-c232c50c18dc4a0e98e2ec8729fa571c,601917,601917-259efd9e05984ce28ede6c10ef7020dc,2023/4/28 21:55,2023/4/28 21:57,FALSE,FALSE,,,TRUE,FALSE,18,FALSE
616470-fb584846ccc84cf193e6e9778142d09d,616470,616470-8e534776ce7d4a4692cacbbfc974934b,2023/4/28 3:39,2023/4/28 3:41,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
631201-9dc080ecd4f244de8038836029e61ab1,631201,631201-a48bc87675394cbc8cb006110cdd23d3,2023/4/28 17:53,2023/4/28 17:56,FALSE,TRUE,,0.2,TRUE,TRUE,25,FALSE
642553-50e91c7836de4ac0a8f64aede3999eec,642553,642553-1097c07d3a74419693a4567a7d2fd340,2023/4/28 16:06,2023/4/28 16:09,FALSE,FALSE,,,TRUE,TRUE,30,FALSE
651613-1314a0fd55af42f2966c9f82a7cd9b37,651613,651613-20fffd2a7b2344cab887a4489bc6002f,2023/4/28 15:03,2023/4/28 15:08,FALSE,FALSE,,,TRUE,TRUE,41,FALSE
659744-7cf82f3213604f2e8729ece8e669a025,659744,659744-d37beb1e585b4f28b6d7444f4a10e6f5,2023/4/28 21:41,2023/4/28 21:44,FALSE,FALSE,,,FALSE,TRUE,25,FALSE
675053-8d4ffdd008b748c9b1854fa21e09500a,675053,675053-249e49fba8ad400ca271b82c9c31a195,2023/4/28 12:26,2023/4/28 12:28,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
686408-ac9544717aef475ca568fd8ea4e2b7d9,686408,686408-46593bfed4364496a2d44a0975f42934,2023/4/28 21:50,2023/4/28 21:53,FALSE,FALSE,,,TRUE,TRUE,25,FALSE
696475-f1a27bda32d74d029ad71848ba02ce28,696475,696475-8f8da9a96a904f8b9f7fdb4cf8adc1d9,2023/4/28 20:43,2023/4/28 20:48,FALSE,FALSE,,,TRUE,TRUE,43,FALSE
714565-3f56c6fde35f41079653f491f34a8b38,714565,714565-f0660f801e1d47b4bcb26527ca0525d0,2023/4/28 12:23,2023/4/28 12:26,FALSE,FALSE,,,TRUE,TRUE,28,FALSE
359072-0bfa5cb0c4e44bfeb1b58c88e5ed49dc,359072,359072-dd678812fa9f4ba788144a60288a70e2,2023/4/29 19:06,2023/4/29 19:08,FALSE,FALSE,,,TRUE,TRUE,20,FALSE
428858-8c7ce8181a584a4c82af65ac3eecb996,428858,428858-82cf47fb1db94ec282e1eb714c97f72f,2023/4/29 10:24,2023/4/29 10:25,FALSE,FALSE,,,FALSE,TRUE,11,FALSE
502875-8e0d095fcc2045f08c05c17dcd72d224,502875,502875-f5f2d7ee528b4cc7ab2c1b9047dcd30b,2023/4/29 17:09,2023/4/29 17:11,FALSE,FALSE,,,TRUE,TRUE,16,FALSE
504892-e3e28c8cfc4a487c9d0401cd412037e6,504892,504892-9a07c21535054e18ba8fa4ff1c1201fd,2023/4/29 21:44,2023/4/29 21:48,FALSE,FALSE,,,TRUE,TRUE,37,FALSE
513058-379b57dc2bf542e8a9afbf7e7d892fe1,513058,513058-48c41531e71b4659afb3a729f1c7f116,2023/4/29 17:21,2023/4/29 17:24,FALSE,FALSE,,,TRUE,TRUE,27,FALSE
513856-70d685a8a10a4210a56411e233031d9e,513856,513856-da2505e6f93e4d4e9ecb29c39d0c5aa8,2023/4/29 9:02,2023/4/29 9:04,TRUE,FALSE,0.15,,TRUE,TRUE,21,FALSE
516053-ceb5b59087e642aaac38dea8ef19a971,516053,516053-e3b8f939321a4a61aa9366fb14885a27,2023/4/29 1:11,2023/4/29 1:13,FALSE,FALSE,,,TRUE,FALSE,18,FALSE
519846-bd0d96ff92f2428eb5bf575dcd5d03fd,519846,519846-601c6393d0f449c0b6d51df9f8afe427,2023/4/29 21:02,2023/4/29 21:04,FALSE,FALSE,,,TRUE,TRUE,23,FALSE
519911-f5c95f10ad85414cae1b44a79f462b8c,519911,519911-cd38391557a24c4d90aa706f26141776,2023/4/29 18:06,2023/4/29 18:08,TRUE,FALSE,0.1,,TRUE,TRUE,18,FALSE
519961-c2e8f007fc954787848a03805b0d486b,519961,519961-5681d2bd278a4a35ad319eefdf3b3eb1,2023/4/29 11:42,2023/4/29 11:44,FALSE,FALSE,,,TRUE,TRUE,18,FALSE
523090-f83200f6236d43549e292cea81886bea,523090,523090-4c73da7a8c364ea1998fd721db3094d7,2023/4/29 15:36,2023/4/29 15:39,TRUE,FALSE,0.2,,TRUE,TRUE,29,FALSE
528967-ddc31dfc09c2401d88eb1efe4cd1891b,528967,528967-99a1108f51584871a78ecb8d0ae4f153,2023/4/29 19:52,2023/4/29 19:54,TRUE,FALSE,0.15,,TRUE,TRUE,18,FALSE
529566-139899c9752e4c01a0d7a92d1a0becd2,529566,529566-16350ed045854236802c10a835c2a0e7,2023/4/29 18:49,2023/4/29 18:51,FALSE,TRUE,,0.1,TRUE,TRUE,24,FALSE
533222-56eb96cd77144632870c707a48b0f5f3,533222,533222-839d293cc87346d3ada34afe32eea991,2023/4/29 21:32,2023/4/29 21:36,FALSE,FALSE,,,TRUE,TRUE,34,FALSE
550068-14f0fd11592c487db5e3bf51a0db74d4,550068,550068-26fc472962a0470dbf111adbd9a47602,2023/4/29 16:41,2023/4/29 16:47,TRUE,TRUE,0.05,0.05,FALSE,TRUE,52,FALSE
553955-6dcae15bba9f4adbb1c4ef84e5d7d224,553955,553955-86a29319b9374ed2ae9ab6465125652a,2023/4/29 20:42,2023/4/29 20:44,FALSE,FALSE,,,TRUE,TRUE,18,FALSE
564430-c6673b38321d466a8d8ececd6801fb5e,564430,564430-9bb4930f44514c6aba0b6b12e85a7d5e,2023/4/29 20:54,2023/4/29 20:56,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
566059-72fcf8d464784e9faec77c783c193dd0,566059,566059-f25cc873c23e4c5aa7a3bcb8ff421ecc,2023/4/29 6:35,2023/4/29 6:40,FALSE,TRUE,,0.1,TRUE,TRUE,42,FALSE
573291-9518a08e548a42c385f38f643def3338,573291,573291-80a7c1d0f7994799a913a433a9e11d17,2023/4/29 13:18,2023/4/29 13:20,TRUE,FALSE,0.15,,TRUE,TRUE,22,FALSE
580626-b7365496fd334732a13b3ea5fdd60a83,580626,580626-6fd2a73b8b3b4ac49ed7ad2215d55b8a,2023/4/29 3:17,2023/4/29 3:19,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
651744-c18c5b9927124c1a9ed54c9e70298034,651744,651744-909333e579d14ec287ebc39d7a801e65,2023/4/29 20:41,2023/4/29 20:43,FALSE,FALSE,,,TRUE,TRUE,19,FALSE
652416-aa596a80501c4ac78639a92d069df886,652416,652416-96f349b069e94bb8be397b2560607905,2023/4/29 17:39,2023/4/29 17:44,FALSE,FALSE,,,TRUE,TRUE,43,FALSE
676570-c115bd0b346241bf9521b6937e43104e,676570,676570-ced357d95e244137b12aad2ffd7fa868,2023/4/29 21:07,2023/4/29 21:10,FALSE,FALSE,,,TRUE,TRUE,24,FALSE
686165-615e6db0c4594762acf092e16b6a889f,686165,686165-c18740eda1f744c192dcfceb2aab2357,2023/4/29 20:49,2023/4/29 20:54,FALSE,FALSE,,,TRUE,TRUE,43,FALSE
765745-cfc0c6666a074509a738ac68bacb3ee2,765745,765745-d1a4cb85a51d49f3916fd2ed1ba49100,2023/4/29 18:24,2023/4/29 18:26,FALSE,FALSE,,,FALSE,TRUE,18,FALSE
