trip_id,user_id,destination_airport,destination_airport_lat,destination_airport_lon
516827-895c46d6907548dca0d35832549149a2,516827,PHL,39.872,-75.241
551282-bc0cfd6efb9c41eca67659506f798124,551282,SEA,47.53,-122.302
490040-51c1b71d8d0d48b3b7b21226376423e2,490040,YOW,45.323,-75.669
525615-59a101c0a5764f35b178ad726716c23c,525615,FTW,32.82,-97.362
560739-f15ca4fb8bfd47d38311b90ac00fdc47,560739,SAT,29.529,-98.279
544595-b3ca7680ebbf4f25adbcf769a1be8370,544595,IND,39.717,-86.294
598691-3f6388e0ba1144f6a5c05a2fb36b9bfb,598691,PHL,39.872,-75.241
516965-8f05587436ed40bf95de8dac651105d2,516965,BNA,36.124,-86.678
545327-bed87355f1244530bb69cfc0f1da6212,545327,HLZ,43.173,-79.935
575971-dd37eea82e3747d9a9c140a472afb3f9,575971,HOU,29.607,-95.159
529510-7c4887f877814ff28cc7a320285d3535,529510,BIF,31.849,-106.38
577617-8031b167fa594accb4715370d9859288,577617,LAS,36.08,-115.152
636966-4fcc110fd0734f819ab7d2ca64d9a710,636966,FAT,36.776,-119.718
596409-0e839b3f46d94172a6bab11866b34ec0,596409,SKF,29.529,-98.279
514215-c6d0449c4efe42fc928b1b066f57a476,514215,YXD,53.667,-113.467
575500-5ee3f0c2dae342889b63e30d02abfaa8,575500,ORD,41.786,-87.752
512283-b90051e12c4e46279e945c7e7bd08693,512283,YQB,46.788,-71.398
593386-01d1a346e36344319ab07d276b4e2cfc,593386,YKZ,43.862,-79.37
577145-a7c00c5a9f714936b5f41afc3576c96c,577145,DEN,39.858,-104.667
521335-f8b3fddd501b41deb430913e07c7378d,521335,LSQ,33.942,-118.408
517061-7df58521dc9448b2bac9a2388c7fb2c4,517061,AUS,30.194,-97.67
520250-53067e101c604471b302333a6d5f20e7,520250,IAH,29.607,-95.159
500243-77c8627989b54ea38569f4479b4a241e,500243,IND,39.717,-86.294
493177-86257ec0b76046c5b2c349cb41f9c053,493177,YUL,45.517,-73.417
617402-dbedb05ad1654772ab78c1303eb3c001,617402,FTW,32.82,-97.362
560367-aeb7ce4d2a354afaa5ecb7bd5dc0d38c,560367,LAX,33.942,-118.408
512706-2fb77ec8a3e74819b86f7c3525d13cbb,512706,YAV,50.056,-97.032
557508-f1b78d9e088045e2a254764078914824,557508,JAX,30.494,-81.688
560627-e4794bb758624af6b059d0aac8801be6,560627,SIN,1.417,103.867
623142-c178ae66ded140ed9fe9ff4f8fda09bf,623142,LGA,40.64,-73.779
693765-694aff7c60664eb587f3e462584180f4,693765,ORD,41.786,-87.752
599649-a38749889797456db8c73669e50ec1f2,599649,YVR,49.195,-123.182
538458-43bc7c71e2d84777bc38680e27e980a5,538458,LSQ,33.942,-118.408
595026-995d615595b84274b352fa4dbdba4bf0,595026,IAH,29.607,-95.159
545805-eb9bdc1eefa0449b910ca0601ad5a328,545805,LSQ,33.942,-118.408
652359-938faee4c1604c92804857dc16233704,652359,ORD,41.786,-87.752
517931-bffafe6d974d49069d58c2c41f923817,517931,YYC,51.114,-114.02
545803-ad6c71c56f8f463fbbeccef78fcecba1,545803,JFK,40.64,-73.779
524668-d24ca3f6af944ecd87f64ce51d8c381c,524668,FAT,36.776,-119.718
550426-60021de71f784e798e5f815bd62f5f04,550426,YUL,45.517,-73.417
530322-197abc1d374d42dcb3a34f10dd651652,530322,YQB,46.788,-71.398
565718-56c697577d654674ac5951882be3c992,565718,FTW,32.82,-97.362
547911-be6aa13d616b4c03ae3f3eb0a9192070,547911,YUL,45.517,-73.417
632425-37cd4a62b1794e2ab6cc5f55bad43b67,632425,ORD,41.786,-87.752
591746-5d160f24b690450293a0b05ecbcbad4e,591746,YOW,45.323,-75.669
563773-0cf0c1beeab344ea93f83757d549ac79,563773,HOU,29.607,-95.159
557921-e2040ce9323a4c5da6dbf695704115a1,557921,IND,39.717,-86.294
512831-d2aca4d3a27e419c8e6b68afb7237faa,512831,YZD,43.862,-79.37
700237-4a1218f116664c26a7998ec3f4f6082c,700237,SAN,32.699,-117.215
550400-859e6ffd120241888f3d9b780d1e56e5,550400,AMS,52.309,4.764
533990-5d9324d3d5cd4448b1d066332cfe1fb2,533990,DMA,32.166,-110.883
564430-d0ea8f6af2b841faa83d706d494a61fc,564430,YYC,51.114,-114.02
777846-22f7345a386745dfac483265569291d5,777846,MEM,35.042,-89.977
524001-f423749f2e364e77afbc02f98af5059e,524001,SJO,37.362,-121.929
433080-383001b93c99441d93f3332008be2278,433080,LAS,36.08,-115.152
538944-8894650d44aa425b9fcd6f1425851606,538944,HLZ,43.173,-79.935
587675-02c620452c5b428c98180ff3ad3e9b3e,587675,CLT,35.214,-80.943
530978-392b2036dfca43f8bb8545020bbb45dc,530978,YAV,50.056,-97.032
636873-5f8d00e81c1e4010a8112cca32974540,636873,BIF,31.849,-106.38
523098-ebb9fb9f056d40c1ac9373c798be29d5,523098,JFK,40.64,-73.779
570631-1c1c2ff02400486eb879596fd1e56fb6,570631,YTZ,43.862,-79.37
548120-b4ca37705802480ba52f6f0deed5835d,548120,JFK,40.64,-73.779
566174-4971945e7c60404d8054c75db9e7c81e,566174,LSQ,33.942,-118.408
511567-c76af60a19b94d3d96b124aa99821c41,511567,YOW,45.323,-75.669
567563-981927fef39e4b8696e9ad5136d7f16f,567563,YQB,46.788,-71.398
526913-97eff8de9ed04cb4b257f0c071766e79,526913,JFK,40.64,-73.779
594188-88d3a4077b65456180eb595d6f0914bf,594188,FAT,36.776,-119.718
602953-24ce239eaed84badb22b1204da934a22,602953,SJC,37.362,-121.929
526676-39ba1013c8b6403ab03950df223aff29,526676,PHX,33.535,-112.383
564737-0cdc63822f1541a2ae9037a4c96d1192,564737,DTW,42.409,-83.01
547150-eadd1043232149539e9c010edcab74de,547150,JAX,30.494,-81.688
565791-dc2653fecf8e47b6b769399c1c060e99,565791,PHX,33.535,-112.383
512303-1117ab30321d48fea9486935c0129fb6,512303,JFK,40.64,-73.779
491182-e0971f355c8b462b962710bcff810813,491182,LSQ,33.942,-118.408
513568-6f5e055ec7dc46e49f82cc41b748b541,513568,FTW,32.82,-97.362
544406-4344610d6ee748a8bbee4014aba37099,544406,YEG,53.667,-113.467
517675-49cc5226a9db4f80845e2765563d99c5,517675,LSQ,33.942,-118.408
525102-2beb78406faf46f698bda044d722268f,525102,LGA,40.64,-73.779
542760-c6c7ee1cfa3a469795e86d49b209a9f3,542760,SFO,37.619,-122.375
520821-84d4322b709d4cc7b071935baf8e4a27,520821,NZY,32.699,-117.215
404879-e797fef1cec94e288c02dcbefab654ca,404879,LSQ,33.942,-118.408
519117-409cf99f06c04eab9b3db96731298b75,519117,DEN,39.858,-104.667
571015-30e5cba38c934cbc9a042bfacd2a51cb,571015,SVZ,29.529,-98.279
600011-9ee2c46cf3734dd39344028c47e1166b,600011,LAX,33.942,-118.408
537861-30a0b324c16342b4a612326a62ba570a,537861,YOW,45.323,-75.669
541168-8e81c6be02e94d79a73675d6e69df3f4,541168,CLT,35.214,-80.943
523526-b45b2c3674b046bf8b30723557acf0c9,523526,JFK,40.64,-73.779
522237-03f09f4f69904415b9b50f3f5cc11587,522237,LUF,33.535,-112.383
523715-374201604c4a4db7a84c22c3f46934c0,523715,MAD,40.472,-3.561
521992-b94e9951f8c64bf5815847e8a0491d5f,521992,LOU,38.228,-85.664
528421-9c2b11e1fa354624837b544dd757f41f,528421,YMX,45.517,-73.417
593494-04d9aa8a34cc41e7b28dc1eb4b752480,593494,BOS,42.364,-71.005
539221-a72802fb2be44597afab005f30cf89d6,539221,MDW,41.786,-87.752
510093-e71475580a7c4948ba8f13114a60fa30,510093,YAV,50.056,-97.032
545344-e2304f5b231b4581b186f87b30997fc9,545344,PEK,40.08,116.584
542036-eab317f5dbf0426b8b81338a7b964151,542036,LGA,40.64,-73.779
577901-3e950d1bd17940b09ddd41ec468543c5,577901,KWL,25.218,110.039
581085-7be72f1bcb4e4566a76d8ebd45214c12,581085,DAL,32.847,-96.852
534858-cf922930f2fb4b6f935f4dfb412b564d,534858,LOU,38.228,-85.664
517787-e8eae67e55184759a2760683aeaf951c,517787,LRF,30.494,-81.688
514324-4287a4761c7d4712b9b381ccb5d14b30,514324,LCK,39.998,-82.892
509638-aa7f00645cbe45cda3af1307e641103e,509638,TUS,32.166,-110.883
613874-06adb7f5c82f4352a081d12ca2f903c4,613874,LSQ,33.942,-118.408
564052-7cfecd9175764a8db20441c0ddcb4b2d,564052,AUS,30.194,-97.67
560739-4eedb807d43c42bfb7784f946a48f195,560739,PNE,39.872,-75.241
554801-2458ef9258ec49e387dd482112c864bc,554801,LOU,38.228,-85.664
589311-b02e387daa494a61808ffe49bf85dbcf,589311,HOU,29.607,-95.159
609051-991b0a2d15de442d8a36f04d426d53ae,609051,LSQ,33.942,-118.408
508546-c47d42c5adc742bc85145b907597cd61,508546,MEM,35.042,-89.977
589977-50d436d447274d5e89eb938a3276620d,589977,IND,39.717,-86.294
586122-d8c84a20ec8f45d3816059a37db4339f,586122,DEN,39.858,-104.667
579950-639572a447154b40ae0637d287bb05fa,579950,BNA,36.124,-86.678
625984-e5fe72e72f0a4835b577fba8789c120d,625984,SJC,37.362,-121.929
517898-8797fcbe5d4e405babb772adf3e29963,517898,FTW,32.82,-97.362
525555-4c3941ecd36841008e7c5568377bad05,525555,YEG,53.667,-113.467
643359-88ce345838aa4d68ad3202aea21ff477,643359,LCK,39.998,-82.892
454920-55aa8c7b0cb041d99d2196ff1e84de70,454920,LAX,33.942,-118.408
478760-2a483c890c154cbea73bd2f8f1df6bb9,478760,SIN,1.417,103.867
512596-553b091b21db42049f8c9621bf380008,512596,EFD,29.607,-95.159
528744-dc79d453ff08433ebdc044ace48f591e,528744,YYC,51.114,-114.02
570224-08fe431e01d6453eab3108eb914773bc,570224,JFK,40.64,-73.779
527187-1eb959bd821244adbea4ab7a0eb4eb97,527187,NZY,32.699,-117.215
478585-82e565e6e9ce43bea048aa6c9f7dc927,478585,YKZ,43.862,-79.37
513220-6d1d68a70bb74098859a3b069abc5347,513220,JFK,40.64,-73.779
579404-57a944558d944e79a2e3f88286e64573,579404,LSV,36.08,-115.152
634795-689ccdfb951449b690ab5358ac648c75,634795,ELP,31.849,-106.38
539916-834bba9fb8104382924a5c6671fafecb,539916,YYC,51.114,-114.02
511489-7b754ed2fb624ffda22a17c0c12a1309,511489,SFO,37.619,-122.375
611126-419ce8e6cc694fcdb8a47ecb00a25e59,611126,BFI,47.53,-122.302
539637-4396c72334364fe6a1874a9d27a34e1c,539637,BOS,42.364,-71.005
619321-a20fd30bfb8c44b38d1bbe6641cab260,619321,LOU,38.228,-85.664
569150-cae492ba8a7649d1912a33f14a108130,569150,AUS,30.194,-97.67
510104-d2ee549c33134865b86ee7c42c8341fc,510104,LAS,36.08,-115.152
541612-5346cce3f9f0483698382d628249fb97,541612,HLZ,43.173,-79.935
525975-f25afe1295b34ab588d0f27a0039dc1e,525975,LAX,33.942,-118.408
512392-0a0e7d6a432243ad9ecc3540a117f4ce,512392,BOS,42.364,-71.005
598881-79bf2189f4d04fdbae348d8e7ecb769c,598881,PNE,39.872,-75.241
511142-d62f050d0acf416aa795bde69655a798,511142,YMX,45.517,-73.417
520733-ef2e22a179c045b4b11edc755508c3fe,520733,LAX,33.942,-118.408
651201-b146f14819d14ea78f22d9da2358a188,651201,JFK,40.64,-73.779
550868-b010f40fb231425e89b040896f1e4643,550868,BNA,36.124,-86.678
529678-fbe82c0989024450a878285d981b27b6,529678,PNE,39.872,-75.241
522111-a0dfaecd5e574647a0e209cd9883d7b1,522111,EDI,55.95,-3.373
516211-88fdaf7d66664769b6dab3753d84d7a0,516211,AUS,30.194,-97.67
519210-fde3271420e34a03907bf5b8db184342,519210,IND,39.717,-86.294
374331-23ab3eb3abfe4004a118c586e78c1839,374331,DAL,32.847,-96.852
568602-43f38d7225b64fb7bb3f0a864fca0e9e,568602,YYZ,43.862,-79.37
530563-f332cd01eca34e3a8b88eed83b8f098e,530563,UGN,41.786,-87.752
519955-c1766806056b47b88cf7f017cae13245,519955,DCA,38.852,-77.037
580212-80025e5c2faf463ab81eb41943a1a92b,580212,MKE,42.947,-87.896
589306-c83e62862f4f4765ae19fde921d40436,589306,YZD,43.862,-79.37
509453-c965928477114b13a780710437c188b4,509453,LSV,36.08,-115.152
528330-8df1939ff2c644f4acedb97a411a998c,528330,LAX,33.942,-118.408
516507-cc93a6213fbc425fac9165fefe2bb31c,516507,DEN,39.858,-104.667
533396-fb15830dedb94e00b0a8a0104cfd72c3,533396,LSQ,33.942,-118.408
520708-93ce119837c344589f7cb62ca4323a69,520708,YIP,42.409,-83.01
581091-4fd0c83e66a7482c90979fad3c7eb70a,581091,YQB,46.788,-71.398
533932-7e99537f15f940f89f3fb564a249f1cb,533932,NZY,32.699,-117.215
572992-4dcbe3397a6e4f4190d3513dd98cbc9a,572992,JAX,30.494,-81.688
603160-ff40d3bcf7584553b37744e38390dde0,603160,LGA,40.64,-73.779
562161-229ffc009ba24fdfa7a9a142de29b785,562161,DET,42.409,-83.01
656708-708fb142e0e8457e91b611fc8d0ec708,656708,YOW,45.323,-75.669
622813-1dc5be8115f349ad8f60df3f0e1ae29e,622813,LGA,40.64,-73.779
509749-c4c7a1333eca4210af4d29778740d780,509749,BWI,39.175,-76.668
554961-7911a715fe7c463d9c455163df946df8,554961,LOU,38.228,-85.664
509498-49b6bbdd8ef448e69668596a955815a9,509498,YYZ,43.862,-79.37
600078-3d213bcdba5a434cabcc6bc9d031b9b4,600078,YVR,49.195,-123.182
560978-2d58a08a54cd4be1868835db447692f7,560978,SIN,1.417,103.867
551549-15f28ab557cf4d179cfa1fb3ce6dca4c,551549,YQB,46.788,-71.398
534474-6b11f2f1025a4f818c062b84a9037747,534474,EFD,29.607,-95.159
517871-3e66f1ece94346e8bed57b612ca22063,517871,IND,39.717,-86.294
464080-ab8ae55af48e4b5dbd9aad3bc686af19,464080,LGA,40.64,-73.779
551615-5d98bf1daafd4629ace8fdf6c7fb7cd6,551615,RND,29.529,-98.279
524120-56e08758188248b49adf1e4d1ec5063f,524120,MKE,42.947,-87.896
401245-da2ff7ce155f4893891e79a3e828342e,401245,LAX,33.942,-118.408
542270-fd62b8de07b34667ac219b573398fe93,542270,YYC,51.114,-114.02
534105-e4d346bd3cc74338b665651e6fb5cd9f,534105,LGA,40.64,-73.779
357737-39c46ac167e141479ccfa05cd81f0fef,357737,LGA,40.64,-73.779
522086-98f792cfcf6b40a492e56bd6f6ceb23f,522086,NZY,32.699,-117.215
517743-d601c08de8674fb09c40f8543adb91c2,517743,NZC,30.494,-81.688
518211-39a4637a6f1645a184b855936f268fb8,518211,IAH,29.607,-95.159
548587-1ac3cc409801445d97978c575dd547a1,548587,JFK,40.64,-73.779
530607-aab6dbaa3ef44cd881ffad8557f77327,530607,BNA,36.124,-86.678
679611-0515fd88ad8945979c75e9f96c9e0774,679611,BOS,42.364,-71.005
569792-6e15e8db32b54521a0c4b7fd8212471d,569792,YZD,43.862,-79.37
714565-7e363686d8c0498ea633e0fed085dc02,714565,YYZ,43.862,-79.37
519393-a09897ae01bc49fb9ea44b61c472f7cb,519393,LSQ,33.942,-118.408
523209-bab31a749351490f83c98f29ac671c9b,523209,JFK,40.64,-73.779
622418-b5bebe47ef1f46fcba6d34632a3461f2,622418,PHL,39.872,-75.241
568078-c6b68e519a774d4d93d9c807bd5cf65a,568078,PHL,39.872,-75.241
554284-0ad75b0094fc4873869fb3aa54088c39,554284,FTW,32.82,-97.362
505617-b6dfd9ff42464a57867458097f51e1f0,505617,AUS,30.194,-97.67
539864-486cc9cac32d465299a7439723dd834a,539864,LGA,40.64,-73.779
573189-b2b514ca615e431a87d67c5f76913983,573189,LGA,40.64,-73.779
618266-8eb471f55d7640e89a8a807c9a1e6670,618266,DET,42.409,-83.01
512904-815fbb2f13534e1c8a7667f326c73f42,512904,PNE,39.872,-75.241
511613-d7b73635adb847be9927bad7dff0ca13,511613,LAX,33.942,-118.408
511726-bc93d2c0a3f94a6eb1d6e90797cd64a9,511726,JFK,40.64,-73.779
523146-20aad0f7a0e64ac1b32eb1c355578dfe,523146,YKZ,43.862,-79.37
532381-993e32e9bfbf447eaa9bdc2ef35bbaab,532381,JFK,40.64,-73.779
618418-a5b78da60e644f7dad513c6e2cd38fd2,618418,LAX,33.942,-118.408
490358-fe8ebf6c97784768a35e4a7aaa08c407,490358,NIP,30.494,-81.688
513387-a850e83dddb44abd869f4b260f9c6e3f,513387,YYZ,43.862,-79.37
515058-f35802aecacb489581e9054b2a5358aa,515058,MKE,42.947,-87.896
594406-837206f303bb495591b46243c6d93233,594406,LGA,40.64,-73.779
530627-cad84863ed18467a94603297e9f5d838,530627,UGN,41.786,-87.752
563221-c5a6b5aba1fc48029fb0eb3fcc56e404,563221,YTZ,43.862,-79.37
599348-79744240300a4e52ba3058df5c7ae262,599348,UGN,41.786,-87.752
676570-ced357d95e244137b12aad2ffd7fa868,676570,BIF,31.849,-106.38
548651-d1a6ada6ac434e25abfd382ec32c1ece,548651,JFK,40.64,-73.779
569923-ac960f7d837a46a8a394b7bab8a1865a,569923,DCA,38.852,-77.037
501817-f5aa253dde674b4d97952f61da838432,501817,YYC,51.114,-114.02
573153-8fece555ab1c4d919f784f07f83c38fb,573153,YKZ,43.862,-79.37
542065-d273aec8fc7c4e0d806d04eb4fa6199b,542065,SJI,37.362,-121.929
516614-b6e414ec25374c8a968bf0d548cf824f,516614,AUS,30.194,-97.67
551448-7ff694f6148648c28a3447b756218a94,551448,LAX,33.942,-118.408
585310-5f049c28c5584864b88c9cc7842e59ed,585310,TUS,32.166,-110.883
627972-a956150da11f422cbbb92b32166a5047,627972,YKZ,43.862,-79.37
669356-22a4da32154842f2b23f6c3554856a47,669356,FTW,32.82,-97.362
527142-0ddb1e049a36480389e3eac0a4b99ec8,527142,YVR,49.195,-123.182
557794-27a26c4797e64f44bc62d218ca29114e,557794,LSQ,33.942,-118.408
557762-b31c36e8907748c082cfc601a3032b0f,557762,LSQ,33.942,-118.408
549579-031706a586d24da68fc0dcfce15a6469,549579,YZD,43.862,-79.37
518579-98fc95a684324325935d1a54fca562da,518579,DAL,32.847,-96.852
530315-6b630707aec54c468e9ba54aab68029f,530315,HLZ,43.173,-79.935
502609-ad46de897f134357a1851f1a5c127f79,502609,TIK,35.393,-97.601
510686-324cd60543a0440b808011f29fa441b4,510686,LGA,40.64,-73.779
540973-923e452d146b43479624ad38a02761dc,540973,OKC,35.393,-97.601
541699-d6be31c26ca3405dad75018062d46ded,541699,DMA,32.166,-110.883
555600-8481f0bf44204874baee160f5df9474a,555600,LGA,40.64,-73.779
522005-cfe82510b04c4957a705625443bff13d,522005,PNE,39.872,-75.241
521587-fe02733878e947779f050d461383414e,521587,BOS,42.364,-71.005
556019-5ba79b16ea49408aa32de52e291ebe96,556019,YMX,45.517,-73.417
581005-46aa7c35e7e24c7b95112370db07540a,581005,NCA,30.494,-81.688
510779-dbb31caf9f8e4268be79c307e2c7b4ae,510779,FAT,36.776,-119.718
518127-c57a30973c2d4a5fa7ab564ea45fbfa3,518127,DAL,32.847,-96.852
590905-3193eb0aa5bd43afb8e0db1691aa372f,590905,FAT,36.776,-119.718
571348-ef910559cab340bd883dcbc1d1694bba,571348,SAN,32.699,-117.215
510239-93fa9558f3094022b9f1f3499e9cd6cc,510239,SAN,32.699,-117.215
474239-e53fe5c29f0a4c04ab03b316c2b1e13a,474239,BKK,13.912,100.607
512596-1a15bd34328f44378d510b2cb1923952,512596,SFO,37.619,-122.375
530625-8f5a15f69fe84bb385c682944d830df2,530625,OKC,35.393,-97.601
534445-e92e478ec8ab413eb1d2075d13c20e87,534445,FAT,36.776,-119.718
550459-217538e1f12d4a0db4c7b4aa5f0d50bf,550459,AUS,30.194,-97.67
520397-2cb4c9ba11974180a81a8e9ff64fdb08,520397,YEG,53.667,-113.467
630097-5d5f32627f874e32b3281e7d5c244200,630097,YYZ,43.862,-79.37
587459-c49cf6a544464db0af28e7a5257f5e11,587459,YZD,43.862,-79.37
456226-942d824c800849569d9ebb6ad03ea391,456226,LAS,36.08,-115.152
521066-639ec10a919d42d18b7b52b07ac91331,521066,JFK,40.64,-73.779
541939-dd4db73546c642cfb5397813b40b46df,541939,YOW,45.323,-75.669
511208-859b94fd67c74a9c8314eaf1676b7903,511208,YWG,50.056,-97.032
595184-3dc44bef587e46679f67fa11623dd637,595184,PHX,33.535,-112.383
541389-34615b873e244c4aa96a8e23437cef73,541389,JFK,40.64,-73.779
608086-db046ff57c114030a5e96e945095c458,608086,DCA,38.852,-77.037
531959-d3a91880f46343f5b3ead7ea117ec0c8,531959,YUL,45.517,-73.417
579950-533def03ce9f43e7bd241a27d639326a,579950,YYC,51.114,-114.02
518450-62437e4cd1394825a091723bf6024093,518450,NZY,32.699,-117.215
546256-203787426b8d433f8272b91acf92a5ac,546256,YUL,45.517,-73.417
523335-ac45bb9bbdc246cba93cc81e75701a90,523335,NIP,30.494,-81.688
458919-1518bb9bd11f4b82a911b9f6edb39cd0,458919,LGA,40.64,-73.779
572908-9e39448e85494624909407a2df32214d,572908,YEG,53.667,-113.467
557036-a012fcbddbee48329c7804902f6e1e6e,557036,CLT,35.214,-80.943
514682-67c8535282864676aa87a1bfba3a503a,514682,BFI,47.53,-122.302
534360-82a88b076d2a436f94d2a34798b895fc,534360,PNE,39.872,-75.241
519211-53a20591c8a24631b2e69fb74632826e,519211,YYC,51.114,-114.02
334787-a314717ca1fd448fa8cd8e6e36a87e97,334787,CMH,39.998,-82.892
675201-cc94070f524540ca9414338eb9fb5d63,675201,JFK,40.64,-73.779
646455-1ed122d378a54ab69178c09405415dab,646455,SJO,37.362,-121.929
523454-36f42d2d26814926a0a71a5a3ee63064,523454,OKC,35.393,-97.601
525043-4d5e0eb1746a4e0a83969d3072bbecb5,525043,LGA,40.64,-73.779
515060-54b361c36f754a18b1048b4ad45545b9,515060,YYZ,43.862,-79.37
541700-f6944d12e6d94c93967fe7044d2845ae,541700,TUS,32.166,-110.883
511397-4140bedba2c745b7b3d7a1043175eaac,511397,DEN,39.858,-104.667
565841-3d04065a39ae41ee8055716a59c6b468,565841,EFD,29.607,-95.159
646455-29da63b29d884cf8b16e14a398de0442,646455,MDW,41.786,-87.752
422066-01b3b82899b948ce8a874b218fffc06f,422066,YVR,49.195,-123.182
516704-c83a8271c08c4991b9b7bd83012eac48,516704,LSQ,33.942,-118.408
528354-be2ece3c767f4e7a92e9ef77fdd7462d,528354,PNE,39.872,-75.241
552363-1101eb33c3d8445783531140972cc6cf,552363,YYZ,43.862,-79.37
550202-ddb3aa33da3c45929fac9e49e51a7dea,550202,AUS,30.194,-97.67
413128-8c741aed51f641939fa28c6c97b3ed08,413128,YEG,53.667,-113.467
414128-fbd0d1ed64334d839e79ce051873d1dd,414128,YOW,45.323,-75.669
531807-f73c8e2a71a044ee8033478a65542609,531807,IAD,38.852,-77.037
561031-723374dfab9d4315b3033e60cea4459f,561031,ORD,41.786,-87.752
578929-a98728a09b2746a6b4d2e877264288f2,578929,NCA,30.494,-81.688
520934-5e4ac0204c0649c2bb76445ad46b7ec8,520934,FAT,36.776,-119.718
517397-46e6822306954c7c8dd3375cefe7674c,517397,PNE,39.872,-75.241
512204-ec992a168f5f471ca138ecada69ada05,512204,JFK,40.64,-73.779
509822-4db956b97a8d4bd489eeee981dd867d4,509822,FAT,36.776,-119.718
566964-4a1601e6e0594bc6a9d464f902d3233b,566964,YZD,43.862,-79.37
653852-9db24160095f4639a392dd601c1a83b3,653852,IND,39.717,-86.294
469767-f2206331d28045fbb2c0cc1aa10bc68e,469767,YTZ,43.862,-79.37
451291-99be8c1ab4dd4f9085c5d62ee7181958,451291,BRU,50.902,4.499
585717-1854d08f21cf4b59a67f0018fca5bbc5,585717,SFO,37.619,-122.375
511862-6651c6db70f2435cacc851e64be97dbc,511862,NZY,32.699,-117.215
605780-e80234298a504bbe82e8ee0178ad89ed,605780,LGA,40.64,-73.779
481554-aaca69aa731f43de91de98185e080624,481554,LCK,39.998,-82.892
481554-2162588d28d14f7ab3811eecf42ee3e9,481554,YTZ,43.862,-79.37
543976-269506c7ba5b430294887f671b029cb5,543976,YZD,43.862,-79.37
531253-e85317061175483cad0874ef6fee8b42,531253,FAT,36.776,-119.718
785107-0c31443a4a0f47299d45404530f0b40e,785107,SJO,37.362,-121.929
589164-76bd9329a8f147cabafe48cfd22a9f51,589164,YOW,45.323,-75.669
577180-624989735ccd413cb41d9cea3a36a5a7,577180,YTZ,43.862,-79.37
523756-0067356011cc403d87358daeab0a4b82,523756,LGA,40.64,-73.779
573670-1e770dfb955b4921a6a0e588cc350029,573670,DTW,42.409,-83.01
570219-0eb7ded091c84d4d9b34f76d6cc52aee,570219,YKZ,43.862,-79.37
